feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
UBA3700NOV	N	-0.19096639	0.02385758	0.00000000	0.00000000	 0.29344395	 0.47656253	 0.62627789	 1.06475470	0.07182769	0.07141187	0.06987867	0.07270251	0.00000000	0.00000000	0.02253306	0.02841782	0.41173686	0.43732945	0.00000007	0.00000007	0.01757597	0.03484954	0.18993612
UBA3818	N	-0.02278336	0.02605235	0.38183054	0.43006176	-0.27120541	-0.41275271	-0.49084542	-0.42017641	0.07471981	0.07493670	0.07289183	0.07575449	0.00000000	0.00000000	0.02854686	0.03051553	0.34611008	0.37407857	0.00271959	0.00483693	0.02515013	0.02386563	0.20151240
UBA7160	N	-0.03526669	0.03304131	0.28586373	0.33986021	 0.19445721	 0.28354073	 0.03662554	-0.28050769	0.07720667	0.07699692	0.07519402	0.07804947	0.00000000	0.00000000	0.03400015	0.02194844	0.07483944	0.09099796	0.04046887	0.01772539	0.03775857	0.03718791	0.06301439
UBA7173	N	-0.05592947	0.03055477	0.06732761	0.09235967	 0.24560216	 0.33345406	 0.42171886	 0.44993025	0.07179879	0.07118034	0.06968461	0.07308574	0.00000000	0.00000000	0.15072129	0.03513467	0.00000031	0.00000224	0.00653757	0.01104708	0.00412021	0.04215059	0.11481902
UBA7182	N	-0.17154162	0.02247485	0.00000000	0.00000000	-0.20810246	-0.41349120	-0.56083387	-1.23749676	0.06656237	0.06630634	0.06461479	0.06766806	0.00000000	0.00000000	0.14523589	0.03340448	0.00000052	0.00000329	0.02808976	0.00000006	0.02573128	0.04442576	0.06850250
UBA946	N	-0.12630944	0.02665943	0.00000213	0.00000617	-0.14916041	-0.36671408	-0.00948188	 0.32331991	0.07577174	0.07587132	0.07370019	0.07695265	0.00000000	0.00000000	0.10608817	0.03449543	0.00072287	0.00149358	0.01002785	0.00400276	0.02774471	0.03387978	0.13294476
UBA9475	N	-0.22010612	0.03314339	0.00000000	0.00000000	-0.07868430	-0.19520061	-0.22995499	-0.28521629	0.06647612	0.06575653	0.06464526	0.06753033	0.00006352	0.00007812	0.10838671	0.02898461	0.00000328	0.00001527	0.05090797	0.02223751	0.00503536	0.03598574	0.06842760
UBA9502	N	-0.11279025	0.02603991	0.00001482	0.00003410	-0.31013563	-0.31674846	-0.57681392	-1.00039821	0.06975637	0.06896197	0.06759501	0.07059378	0.00000000	0.00000000	0.06760512	0.02989448	0.01427357	0.02121211	0.01499711	0.00220160	0.01704372	0.05504524	0.10070484
UMGS1004	N	-0.08282905	0.02979226	0.00542807	0.00893543	 0.01374696	 0.08043453	 0.55285962	 0.93168679	0.07905550	0.08003250	0.07687694	0.08022616	0.00000000	0.00000000	0.10592204	0.03299738	0.00039253	0.00087501	0.00790746	0.01394846	0.06147383	0.02884806	0.08911576
UMGS1217	N	-0.11791993	0.03265814	0.00030654	0.00059636	 0.01856575	-0.23376178	-0.06117443	-0.20889677	0.08054686	0.08059723	0.07843046	0.08137164	0.00412507	0.00450390	0.01068144	0.02190339	0.61927362	0.64332308	0.00157043	0.01878398	0.05131889	0.03690088	0.08113176
UMGS1370	N	-0.04768821	0.02508827	0.05719192	0.07947448	-0.38419145	-0.51713357	-0.64445574	-1.13420760	0.07199427	0.07205011	0.07015108	0.07304711	0.00000000	0.00000000	0.07366618	0.03047114	0.00558527	0.00866122	0.01036871	0.00359873	0.03053864	0.03136168	0.12249134
UMGS1815	N	-0.02266755	0.02242722	0.31204507	0.36691014	 0.41049254	 0.60063382	 1.13814109	 1.40178264	0.06614060	0.06577248	0.06420123	0.06710913	0.00000000	0.00000000	0.09633438	0.03377247	0.00238803	0.00433083	0.01250681	0.00000007	0.02156231	0.04478340	0.11814137
UMGS1872	N	 0.00586989	0.02626818	0.82320254	0.85517157	-0.02941755	 0.01192263	-0.25843367	-0.66704956	0.07072786	0.07039471	0.06893536	0.07199518	0.00000000	0.00000000	0.13404278	0.03150565	0.00000013	0.00000110	0.06476769	0.00364146	0.01638015	0.03172386	0.05271269
UMGS268	N	-0.24808495	0.03098972	0.00000000	0.00000000	-0.04721419	-0.18600643	-0.02411535	 0.14879280	0.07077049	0.07066506	0.06903149	0.07197379	0.00088397	0.00100623	0.10921546	0.03267884	0.00009752	0.00024846	0.01831878	0.01773490	0.01206879	0.02603189	0.13091937
X142	N	-0.03595353	0.02707795	0.18425076	0.22924223	-0.11623446	-0.00785996	-0.42885618	-0.72333007	0.06863475	0.06803870	0.06693071	0.06982142	0.00000000	0.00000000	0.11762099	0.03244028	0.00009215	0.00024050	0.02971182	0.00541846	0.00893113	0.03077068	0.05787394
X1XD4269	N	-0.17878651	0.03561037	0.00000051	0.00000157	-0.09028953	-0.22030815	 0.07195910	 0.14586905	0.07012558	0.06916812	0.06814260	0.07085250	0.00001115	0.00001404	0.04044279	0.02417274	0.06031712	0.07418313	0.00023447	0.03840162	0.01018236	0.04353915	0.08549892
X1XD876	N	 0.05150813	0.02522257	0.04112152	0.05866670	-0.11367677	-0.20821800	-0.24837437	-0.33012431	0.07583118	0.07561543	0.07392218	0.07714274	0.00013210	0.00015705	0.11917830	0.03372162	0.00008968	0.00023990	0.01004562	0.00000020	0.02213613	0.03280267	0.08347774
uniq	Y	 0.30142770	0.02540632	0.00000000	0.00000000	 0.24638210	 0.33401413	 0.32624444	 0.48637917	0.07057976	0.06991455	0.06860230	0.07143270	0.00000000	0.00000000	0.05284620	0.02812252	0.04420524	0.05698748	0.00026191	0.00179160	0.02034143	0.04490736	0.10633313
