feature	full.pathway.name	is.community.feat	PVE.Age	pval.Age	padj.Age	PVE.Diet	pval.Diet	padj.Diet	PVE.Genetics	pval.Genetics	padj.Genetics	PVE.Time	pval.Time	padj.Time	PVE.Cohort	pval.Cohort	padj.Cohort	PVE.Batch	pval.Batch	padj.Batch	PVE.Cage	pval.Cage	padj.Cage	PVE.Mouse	pval.Mouse	padj.Mouse	PVE.Residual	pval.Residual	padj.Residual
PANTOPWY	PANTO-PWY: phosphopantothenate biosynthesis I	N	0.00236826	0.42941360	0.56632808	0.00833021	0.00931266	0.01105372	0.10972844	0.00002142	0.00018859	0.03026799	0.00000158	0.00001198	0.00121736	0.81590986	1.00000000	0.04655514	0.00000000	0.00000000	0.00656223	0.38825069	0.51204077	0.03621650	0.13412761	0.26924145	0.7587539	NA	NA
PANTOSYNPWY	PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	N	0.00067854	0.84823681	0.98122309	0.01429662	0.00005864	0.00008797	0.11075999	0.00000434	0.00004555	0.03871291	0.00000355	0.00002310	0.00396873	0.45773067	0.71816364	0.04118270	0.00000000	0.00000001	0.00885090	0.20982583	0.31410111	0.00593143	0.79812344	0.95564780	0.7756182	NA	NA
PENTOSEPPWY	PENTOSE-P-PWY: pentose phosphate pathway	N	0.08880988	0.00000004	0.00000093	0.06183297	0.00000000	0.00000000	0.04314846	0.00790203	0.01473276	0.00000007	1.00000000	1.00000000	0.01305372	0.05959543	0.15643799	0.04297199	0.00000000	0.00000000	0.00582343	0.30607497	0.42155070	0.02029450	0.26058369	0.42344849	0.7240650	NA	NA
PEPTIDOGLYCANSYNPWY	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	N	0.00113148	0.73077902	0.87119071	0.00139200	0.55069314	0.57163204	0.04669636	0.02028923	0.03277490	0.12586575	0.00000000	0.00000000	0.00700678	0.19021997	0.36570459	0.02766139	0.00000676	0.00000993	0.01982603	0.00269657	0.01138273	0.02207938	0.30125626	0.45862373	0.7483408	NA	NA
PHOSLIPSYNPWY	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	N	0.07886576	0.00676337	0.02029012	0.02052330	0.00002079	0.00003339	0.06580117	0.00148990	0.00353689	0.00938006	0.02845569	0.05670368	0.00002766	1.00000000	1.00000000	0.03007311	0.00000414	0.00000635	0.01788738	0.01489145	0.03835250	0.03326880	0.12855243	0.26387078	0.7441728	NA	NA
POLYAMINSYN3PWY	POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	N	0.05773162	0.17771574	0.29948393	0.01007119	0.00110218	0.00143284	0.05281360	0.00097860	0.00259376	0.00796019	0.13640330	0.22845461	0.00616476	0.33892057	0.56101461	0.03521374	0.00000895	0.00001259	0.00284657	0.63748530	0.74373285	0.00000004	0.99143994	1.00000000	0.8271983	NA	NA
POLYAMSYNPWY	POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	N	0.00797770	0.26790403	0.39111123	0.01623545	0.00003521	0.00005430	0.03137219	0.01563429	0.02651031	0.01793528	0.01228258	0.02640271	0.02631786	0.00433820	0.01850514	0.04546839	0.00000000	0.00000000	0.01145752	0.06809127	0.13373322	0.00000004	0.99083225	1.00000000	0.8432356	NA	NA
POLYISOPRENSYNPWY	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	N	0.00720149	0.14125831	0.25538754	0.09474372	0.00000000	0.00000000	0.08827815	0.00002492	0.00020365	0.00000007	1.00000000	1.00000000	0.01252058	0.08189485	0.19444573	0.04281896	0.00000000	0.00000001	0.01990280	0.00960347	0.02832244	0.04541185	0.02470727	0.09775485	0.6891224	NA	NA
PPGPPMETPWY	PPGPPMET-PWY: ppGpp metabolism	N	0.00020792	0.90315324	1.00000000	0.00071211	0.66232179	0.68490095	0.11375028	0.00000112	0.00002182	0.37624638	0.00000000	0.00000000	0.00131250	0.77539642	1.00000000	0.02826542	0.00000000	0.00000000	0.01120651	0.09050680	0.16472237	0.08893260	0.00000306	0.00083446	0.3793663	NA	NA
PWY01061	PWY0-1061: superpathway of L-alanine biosynthesis	N	0.07812142	0.08081261	0.16342107	0.02485304	0.00000165	0.00000304	0.05505111	0.00128317	0.00312772	0.10080112	0.00003412	0.00016343	0.00340809	0.67354804	0.96778219	0.03893204	0.00000000	0.00000000	0.03424184	0.00000420	0.00019118	0.03183267	0.06976732	0.18347157	0.6327587	NA	NA
PWY01241	PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	N	0.00216311	0.45412138	0.59035939	0.02125675	0.00003908	0.00005961	0.00888533	0.61646594	0.65484515	0.01324196	0.00079160	0.00242818	0.01742614	0.01393599	0.05358485	0.02678622	0.00002626	0.00003501	0.02165002	0.00489118	0.01804448	0.05687404	0.00616526	0.05429402	0.8317164	NA	NA
PWY01261	PWY0-1261: anhydromuropeptides recycling I	N	0.10542815	0.02762160	0.06732765	0.01487817	0.00026566	0.00036628	0.04590066	0.03053309	0.04620372	0.02861089	0.00098516	0.00295549	0.00078763	0.87020505	1.00000000	0.02411338	0.00006114	0.00007799	0.02309211	0.00123127	0.00665384	0.02793192	0.19855245	0.36624878	0.7292571	NA	NA
PWY01296	PWY0-1296: purine ribonucleosides degradation	N	0.11581896	0.02803077	0.06772034	0.06207067	0.00000000	0.00000000	0.10101531	0.00000027	0.00001236	0.01361818	0.00827446	0.01882439	0.00078378	0.88780447	1.00000000	0.04123727	0.00000000	0.00000000	0.00421246	0.51452406	0.63776875	0.04463867	0.02331755	0.09676578	0.6166047	NA	NA
PWY01297	PWY0-1297: superpathway of purine deoxyribonucleosides degradation	N	0.06124396	0.00027459	0.00149215	0.02810098	0.00000034	0.00000068	0.02280378	0.17679619	0.20365131	0.01737444	0.03191486	0.06179259	0.03052893	0.02572747	0.08779498	0.02077230	0.00054562	0.00061298	0.02443264	0.00060887	0.00426207	0.03118122	0.11034557	0.24549120	0.7635618	NA	NA
PWY01298	PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	N	0.00015724	0.96473127	1.00000000	0.01872728	0.00002859	0.00004485	0.01626108	0.28780164	0.31554156	0.03284645	0.00000191	0.00001387	0.02622441	0.00080299	0.00447380	0.01552352	0.01147309	0.01181944	0.01630564	0.01233858	0.03335081	0.02278576	0.21752367	0.38300064	0.8511686	NA	NA
PWY01319	PWY0-1319: CDP-diacylglycerol biosynthesis II	N	0.00000021	1.00000000	1.00000000	0.09242537	0.00000000	0.00000000	0.10231139	0.00000111	0.00002182	0.03667144	0.00000000	0.00000000	0.01000272	0.04863870	0.13412491	0.00761017	0.07099000	0.07231444	0.01460578	0.04869968	0.10306210	0.05426679	0.00938941	0.05841765	0.6821061	NA	NA
PWY01477	PWY0-1477: ethanolamine utilization	N	0.04272990	0.00964148	0.02741795	0.01841289	0.00008074	0.00011915	0.02520018	0.15602130	0.18125027	0.02535835	0.00111911	0.00328514	0.01430133	0.10188482	0.22251645	0.03691811	0.00000000	0.00000001	0.02111233	0.00435819	0.01723677	0.05144288	0.01303765	0.06591256	0.7645240	NA	NA
PWY01479	PWY0-1479: tRNA processing	N	0.02327267	0.18943121	0.30966899	0.00750144	0.02863650	0.03204002	0.05476847	0.00854923	0.01566403	0.00718223	0.10610333	0.17991434	0.01483261	0.03279666	0.10219273	0.03320006	0.00001926	0.00002616	0.02204220	0.00260709	0.01129738	0.01804343	0.43159635	0.57476001	0.8191569	NA	NA
PWY01586	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	N	0.04374384	0.00862775	0.02505720	0.05480503	0.00000000	0.00000000	0.08641605	0.00009696	0.00046440	0.00085559	0.72474373	0.92025599	0.00945163	0.13037012	0.26962911	0.02275246	0.00046045	0.00051943	0.02217486	0.00221851	0.01009422	0.03845585	0.07578798	0.19518980	0.7213447	NA	NA
PWY0162	PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	N	0.07239737	0.00749972	0.02201531	0.08680809	0.00000000	0.00000000	0.07137360	0.00023819	0.00100042	0.02268815	0.00013199	0.00055437	0.00863542	0.38103590	0.61189883	0.02215445	0.00003686	0.00004884	0.03070344	0.00005344	0.00085823	0.05612512	0.00390016	0.05070202	0.6291144	NA	NA
PWY0166	PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	N	0.00460724	0.25617440	0.37803033	0.05349976	0.00000000	0.00000000	0.07270200	0.00042689	0.00145678	0.00000008	1.00000000	1.00000000	0.01178884	0.07011310	0.17244033	0.03793241	0.00000013	0.00000026	0.01417920	0.06117373	0.12463007	0.04683344	0.02634642	0.10027706	0.7584570	NA	NA
PWY0301	PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	N	0.04352840	0.03107809	0.07318406	0.00403997	0.16312108	0.17193844	0.04087367	0.06561520	0.08409835	0.00495024	0.29090843	0.43877349	0.00000008	0.99175148	1.00000000	0.03169093	0.00000155	0.00000261	0.02035906	0.00755358	0.02344405	0.03541565	0.12963886	0.26411499	0.8191420	NA	NA
PWY0845	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	N	0.00229039	0.35510964	0.48844506	0.03090321	0.00000002	0.00000005	0.06409759	0.00311278	0.00672215	0.01489477	0.00043350	0.00159928	0.02176295	0.00364720	0.01580454	0.02641237	0.00004038	0.00005299	0.01102332	0.11964399	0.20414256	0.02204715	0.31919882	0.47618184	0.8065682	NA	NA
PWY0862	PWY0-862: (5Z)-dodecenoate biosynthesis I	N	0.06324271	0.00181196	0.00691296	0.03150640	0.00000008	0.00000017	0.04323744	0.05132636	0.06736585	0.00000008	1.00000000	1.00000000	0.00152856	0.78040411	1.00000000	0.03699579	0.00000002	0.00000005	0.01800565	0.01554793	0.03930171	0.05136381	0.02339392	0.09676578	0.7541196	NA	NA
PWY1042	PWY-1042: glycolysis IV	N	0.30549371	0.00000000	0.00000002	0.08294050	0.00000000	0.00000000	0.08151750	0.00000002	0.00000182	0.00874245	0.04506394	0.08369017	0.00960383	0.06017230	0.15644797	0.01601159	0.00023090	0.00026823	0.01463737	0.00535041	0.01906498	0.02170038	0.11931052	0.25446697	0.4593527	NA	NA
PWY1269	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	N	0.00000009	1.00000000	1.00000000	0.00723176	0.02188544	0.02520980	0.01894773	0.36783243	0.39691010	0.01301214	0.01041133	0.02255789	0.00000009	1.00000000	1.00000000	0.04010450	0.00000000	0.00000000	0.01281468	0.08624772	0.16154740	0.06082552	0.00679919	0.05624780	0.8470635	NA	NA
PWY1861	PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	N	0.00586555	0.02082429	0.05168210	0.00000009	1.00000000	1.00000000	0.00304036	0.85645883	0.88565629	0.00086802	0.70657348	0.90137645	0.00738767	0.10091152	0.22216811	0.01148347	0.07337087	0.07446188	0.01536559	0.03111711	0.07260659	0.02939133	0.17180067	0.32345919	0.9265979	NA	NA
PWY1ZNC1	PWY1ZNC-1: assimilatory sulfate reduction IV	N	0.02360399	0.05556837	0.11851692	0.01018298	0.00785009	0.00939946	0.02840598	0.16373931	0.18941030	0.01054430	0.06174228	0.11237095	0.00792675	0.21412691	0.39766426	0.02937447	0.00006329	0.00008021	0.02506159	0.00090335	0.00560490	0.00646914	0.77362932	0.93040002	0.8584308	NA	NA
PWY241	PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	N	0.00000008	1.00000000	1.00000000	0.08902039	0.00000000	0.00000000	0.08032994	0.00010697	0.00050348	0.00679608	0.05725415	0.10490190	0.00854022	0.12133308	0.25479946	0.02741932	0.00005657	0.00007354	0.00333908	0.60367395	0.71655861	0.02089590	0.33515285	0.49090554	0.7636590	NA	NA
PWY2941	PWY-2941: L-lysine biosynthesis II	N	0.13844099	0.00000000	0.00000000	0.12841134	0.00000000	0.00000000	0.03334580	0.02160730	0.03469879	0.00065940	0.76145776	0.95356867	0.00528989	0.31330399	0.54134171	0.04242644	0.00000000	0.00000000	0.01313790	0.02751494	0.06561861	0.03371920	0.03215187	0.11203207	0.6045690	NA	NA
PWY2942	PWY-2942: L-lysine biosynthesis III	N	0.01415436	0.01035816	0.02895839	0.02690206	0.00000174	0.00000320	0.05360860	0.00783287	0.01473276	0.00410005	0.22841340	0.35430032	0.00376599	0.51031577	0.76993560	0.03751615	0.00000149	0.00000253	0.02518560	0.00076906	0.00499890	0.02375995	0.27238820	0.43742340	0.8110072	NA	NA
PWY3001	PWY-3001: superpathway of L-isoleucine biosynthesis I	N	0.03163581	0.00001598	0.00015585	0.02329104	0.00000161	0.00000298	0.00094146	0.94656811	0.97514375	0.01568757	0.00881045	0.01987812	0.05181597	0.00024150	0.00199784	0.06512569	0.00000000	0.00000000	0.01693524	0.00656082	0.02243840	0.02944026	0.07008740	0.18347157	0.7651270	NA	NA
PWY3841	PWY-3841: folate transformations II (plants)	N	0.00838360	0.14815785	0.26264346	0.01409570	0.00070552	0.00093499	0.06150000	0.00044511	0.00147728	0.01016911	0.08518235	0.14906911	0.01491488	0.03795726	0.11387179	0.04173469	0.00000004	0.00000009	0.02771005	0.00006795	0.00097633	0.00000004	0.99692076	1.00000000	0.8214919	NA	NA
PWY4041	PWY-4041: &gamma;-glutamyl cycle	N	0.00000029	1.00000000	1.00000000	0.00000006	1.00000000	1.00000000	0.10123609	0.00000251	0.00003314	0.22137596	0.00000000	0.00000000	0.00710785	0.22031513	0.40097354	0.02929508	0.00000001	0.00000003	0.01182760	0.07827197	0.14942830	0.04963641	0.01265851	0.06591256	0.5795207	NA	NA
PWY4984	PWY-4984: urea cycle	N	0.00663234	0.00624332	0.01915085	0.09010753	0.00000000	0.00000000	0.04936524	0.00362488	0.00755415	0.00000008	0.99447340	1.00000000	0.03442165	0.00004229	0.00048109	0.02337681	0.00001397	0.00001936	0.02127992	0.00128270	0.00673416	0.00000019	1.00000000	1.00000000	0.7748162	NA	NA
PWY4FS7	PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	N	0.00525251	0.22369865	0.35220211	0.07787235	0.00000000	0.00000000	0.07478397	0.00034762	0.00127686	0.00000007	1.00000000	1.00000000	0.01080045	0.08262163	0.19444573	0.03178972	0.00000311	0.00000485	0.02088257	0.00714839	0.02323228	0.05026131	0.01633466	0.07456075	0.7283570	NA	NA
PWY4FS8	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	N	0.00525251	0.22369865	0.35220211	0.07787235	0.00000000	0.00000000	0.07478397	0.00034762	0.00127686	0.00000007	1.00000000	1.00000000	0.01080045	0.08262163	0.19444573	0.03178972	0.00000311	0.00000485	0.02088257	0.00714839	0.02323228	0.05026131	0.01633466	0.07456075	0.7283570	NA	NA
PWY4LZ257	PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	N	0.03773317	0.00132902	0.00533561	0.02394265	0.00000212	0.00000380	0.01857032	0.25224483	0.28107281	0.01059677	0.08161302	0.14374423	0.04753750	0.00019983	0.00187576	0.02429147	0.00009691	0.00011918	0.02185809	0.00154112	0.00779124	0.01920564	0.32543678	0.48023914	0.7962644	NA	NA
PWY5005	PWY-5005: biotin biosynthesis II	N	0.03513579	0.00187815	0.00694644	0.01023883	0.00295533	0.00368404	0.09285771	0.00004797	0.00029101	0.01928015	0.00016286	0.00064436	0.01177117	0.04679467	0.13170045	0.00982563	0.07532435	0.07616128	0.00367812	0.58458941	0.70305246	0.03321725	0.14651470	0.29108052	0.7839954	NA	NA
PWY5022	PWY-5022: 4-aminobutanoate degradation V	N	0.00000019	0.99411244	1.00000000	0.00000009	1.00000000	1.00000000	0.00543731	0.69814801	0.73024677	0.00000013	0.99366803	1.00000000	0.04463165	0.00001039	0.00014926	0.05592137	0.00000000	0.00000000	0.00816756	0.16588817	0.26242732	0.00000005	1.00000000	1.00000000	0.8858416	NA	NA
PWY5030	PWY-5030: L-histidine degradation III	N	0.03468273	0.01094345	0.02987563	0.01376050	0.00029548	0.00040333	0.03531665	0.02973451	0.04560405	0.04299652	0.00000011	0.00000099	0.10766948	0.00000117	0.00003184	0.05895526	0.00000000	0.00000000	0.00973103	0.12242686	0.20759337	0.05217327	0.00505667	0.05347017	0.6447145	NA	NA
PWY5097	PWY-5097: L-lysine biosynthesis VI	N	0.00466823	0.23720419	0.35975969	0.04238905	0.00000000	0.00000000	0.09008373	0.00005163	0.00030118	0.00227954	0.55542156	0.73606838	0.00358829	0.51047012	0.76993560	0.03772902	0.00000089	0.00000159	0.02260984	0.00380421	0.01527279	0.02074589	0.35854164	0.50715994	0.7759064	NA	NA
PWY5100	PWY-5100: pyruvate fermentation to acetate and lactate II	N	0.00677708	0.18250346	0.30380149	0.01535005	0.00011719	0.00016662	0.08322751	0.00006125	0.00033445	0.09101324	0.00000000	0.00000002	0.00434619	0.39958050	0.63421789	0.03836535	0.00000001	0.00000003	0.00827263	0.20133891	0.30536401	0.02636948	0.21885751	0.38300064	0.7262785	NA	NA
PWY5103	PWY-5103: L-isoleucine biosynthesis III	N	0.00343906	0.35760871	0.48844506	0.02173327	0.00003052	0.00004734	0.03902175	0.04430710	0.06202995	0.02162123	0.00001984	0.00010032	0.00000008	1.00000000	1.00000000	0.06505680	0.00000000	0.00000000	0.02476348	0.00107694	0.00618213	0.03730638	0.08026124	0.20102128	0.7870580	NA	NA
PWY5121	PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	N	0.01441266	0.10549323	0.20425286	0.08890537	0.00000000	0.00000000	0.10525562	0.00000140	0.00002548	0.00000007	1.00000000	1.00000000	0.00898386	0.18819245	0.36570459	0.04228302	0.00000000	0.00000001	0.01896985	0.01422556	0.03734209	0.04571655	0.02452793	0.09775485	0.6754730	NA	NA
PWY5136	PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	N	0.00000008	1.00000000	1.00000000	0.00000008	1.00000000	1.00000000	0.03594847	0.01007927	0.01810290	0.00706706	0.11096459	0.18699589	0.05546783	0.00000236	0.00005100	0.05236560	0.00000000	0.00000000	0.01349824	0.01837443	0.04602036	0.00000003	1.00000000	1.00000000	0.8356526	NA	NA
PWY5154	PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	N	0.00295232	0.23300865	0.35934096	0.08987134	0.00000000	0.00000000	0.07303377	0.00016285	0.00074096	0.00224157	0.70242162	0.90028686	0.00469662	0.33866302	0.56101461	0.02007129	0.00433796	0.00462603	0.02143742	0.00660953	0.02243840	0.04582396	0.02681401	0.10027706	0.7398717	NA	NA
PWY5188	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	N	0.00421590	0.15342627	0.26849597	0.04008225	0.00000000	0.00000000	0.00705183	0.67566081	0.71135902	0.00530485	0.19681925	0.31781048	0.01392132	0.04267708	0.12264044	0.04569479	0.00000000	0.00000000	0.01452990	0.04309003	0.09721966	0.04118867	0.03271113	0.11203207	0.8280105	NA	NA
PWY5189	PWY-5189: tetrapyrrole biosynthesis II (from glycine)	N	0.13256704	0.00000000	0.00000002	0.07044477	0.00000000	0.00000000	0.04475859	0.01644505	0.02771296	0.00046344	0.86501434	1.00000000	0.00417505	0.36780982	0.59590255	0.02418238	0.00007397	0.00009179	0.02594683	0.00007681	0.00104852	0.01856140	0.32230104	0.47819665	0.6789005	NA	NA
PWY5345	PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	N	0.07928446	0.00001832	0.00017247	0.03237109	0.00000018	0.00000038	0.06082710	0.00310649	0.00672215	0.00071582	0.82624014	1.00000000	0.00498545	0.39372514	0.62857873	0.02441425	0.00011030	0.00013207	0.02923026	0.00009588	0.00113806	0.00899208	0.66964623	0.83097010	0.7591795	NA	NA
PWY5347	PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	N	0.00000037	1.00000000	1.00000000	0.00473843	0.06643306	0.07168469	0.07363184	0.00053755	0.00159512	0.01657304	0.03925179	0.07441485	0.00000009	1.00000000	1.00000000	0.04643063	0.00000000	0.00000000	0.00833437	0.23196293	0.33864107	0.00000027	0.99822973	1.00000000	0.8502910	NA	NA
PWY5384	PWY-5384: sucrose degradation IV (sucrose phosphorylase)	N	0.06308996	0.00005670	0.00038700	0.02491238	0.00008922	0.00013025	0.04735931	0.01669521	0.02796191	0.00000007	1.00000000	1.00000000	0.03064344	0.00482757	0.02027578	0.04068736	0.00000000	0.00000000	0.07101326	0.00000000	0.00000000	0.05611389	0.00502097	0.05347017	0.6661803	NA	NA
PWY5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	N	0.00587140	0.17919558	0.30012511	0.04374046	0.00000000	0.00000000	0.07898770	0.00024690	0.00102127	0.02495267	0.00000291	0.00001940	0.00379114	0.36889206	0.59590255	0.02343413	0.00031992	0.00036851	0.00000016	1.00000000	1.00000000	0.02030083	0.35748345	0.50715994	0.7989215	NA	NA
PWY5497	PWY-5497: purine nucleobases degradation II (anaerobic)	N	0.05637247	0.00239842	0.00861537	0.01369013	0.00139744	0.00179108	0.03283566	0.06283351	0.08091296	0.00936366	0.00920127	0.02042233	0.02823299	0.00149168	0.00731816	0.03135551	0.00000054	0.00000101	0.02625255	0.00018294	0.00178363	0.00000020	0.99481379	1.00000000	0.8018968	NA	NA
PWY5505	PWY-5505: L-glutamate and L-glutamine biosynthesis	N	0.00501159	0.23429557	0.35934096	0.01122107	0.00156808	0.00200040	0.02859528	0.07130881	0.08929956	0.01651481	0.00066723	0.00216851	0.04293480	0.00036504	0.00255526	0.03625793	0.00000000	0.00000000	0.01025743	0.10835141	0.19083829	0.00000013	1.00000000	1.00000000	0.8492070	NA	NA
PWY561	PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	N	0.05418813	0.00061924	0.00272665	0.01487920	0.00036484	0.00049308	0.05966730	0.00399848	0.00826958	0.00445737	0.32780987	0.48374105	0.00000008	1.00000000	1.00000000	0.03201871	0.00000023	0.00000046	0.01849354	0.00963203	0.02832244	0.01128371	0.61325913	0.76798046	0.8050120	NA	NA
PWY5659	PWY-5659: GDP-mannose biosynthesis	N	0.00000008	1.00000000	1.00000000	0.00017762	0.91651826	0.93361748	0.06054251	0.00221361	0.00499435	0.04590887	0.00000003	0.00000030	0.04605066	0.00000060	0.00001827	0.01572482	0.00279377	0.00299098	0.00310255	0.62596033	0.73658263	0.02348552	0.25059324	0.41455077	0.8050074	NA	NA
PWY5667	PWY-5667: CDP-diacylglycerol biosynthesis I	N	0.00000021	1.00000000	1.00000000	0.09242537	0.00000000	0.00000000	0.10231139	0.00000111	0.00002182	0.03667144	0.00000000	0.00000000	0.01000272	0.04863870	0.13412491	0.00761017	0.07099000	0.07231444	0.01460578	0.04869968	0.10306210	0.05426679	0.00938941	0.05841765	0.6821061	NA	NA
PWY5675	PWY-5675: nitrate reduction V (assimilatory)	N	0.05842504	0.00000706	0.00007408	0.02722657	0.00000093	0.00000180	0.05004304	0.00913126	0.01661889	0.00000008	1.00000000	1.00000000	0.00000008	1.00000000	1.00000000	0.02895600	0.00000818	0.00001170	0.02416001	0.00138387	0.00712823	0.02681709	0.20892248	0.37953894	0.7843721	NA	NA
PWY5676	PWY-5676: acetyl-CoA fermentation to butanoate II	N	0.00034181	0.87331129	0.99754804	0.04246966	0.00000000	0.00000000	0.00000034	1.00000000	1.00000000	0.00657753	0.07606089	0.13483521	0.05237619	0.00000003	0.00000239	0.03139655	0.00000006	0.00000012	0.00000008	1.00000000	1.00000000	0.03836794	0.03929103	0.11918279	0.8284699	NA	NA
PWY5686	PWY-5686: UMP biosynthesis I	N	0.01293494	0.01671121	0.04303926	0.06274326	0.00000000	0.00000000	0.08668436	0.00006572	0.00033851	0.01865259	0.00064109	0.00213435	0.00110019	0.80627081	1.00000000	0.03208535	0.00000029	0.00000055	0.01147435	0.09009316	0.16472237	0.00000005	0.99889346	1.00000000	0.7743249	NA	NA
PWY5695	PWY-5695: inosine 5'-phosphate degradation	N	0.00407550	0.23047249	0.35749426	0.04451186	0.00000000	0.00000000	0.10740715	0.00001583	0.00014898	0.05301814	0.00000000	0.00000000	0.00231810	0.58838874	0.86360283	0.02482804	0.00013294	0.00015780	0.00169312	0.81415474	0.89262749	0.06245840	0.00913048	0.05841765	0.6996897	NA	NA
PWY5723	PWY-5723: Rubisco shunt	N	0.00411648	0.26717388	0.39111123	0.02302993	0.00000236	0.00000420	0.01821653	0.33458594	0.36246810	0.00627830	0.15139400	0.25048825	0.00714938	0.23126984	0.41812362	0.04380903	0.00000000	0.00000001	0.01097052	0.13171531	0.22060294	0.04932598	0.02458592	0.09775485	0.8371038	NA	NA
PWY5837	PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	N	0.06102815	0.00041783	0.00203694	0.02255395	0.00002273	0.00003628	0.04252301	0.04479002	0.06237675	0.00061782	0.88572229	1.00000000	0.00000008	1.00000000	1.00000000	0.02942807	0.00000251	0.00000404	0.02727695	0.00042773	0.00343444	0.03422755	0.12629089	0.26387078	0.7823444	NA	NA
PWY5838	PWY-5838: superpathway of menaquinol-8 biosynthesis I	N	0.05645539	0.00043347	0.00204028	0.01423454	0.00108360	0.00141876	0.05443655	0.01890617	0.03090649	0.00172025	0.68108447	0.87705689	0.00000008	1.00000000	1.00000000	0.03409176	0.00000012	0.00000024	0.02522417	0.00124302	0.00665384	0.03584697	0.12825455	0.26387078	0.7779903	NA	NA
PWY5840	PWY-5840: superpathway of menaquinol-7 biosynthesis	N	0.05731548	0.00024698	0.00137601	0.02497821	0.00000678	0.00001178	0.04378327	0.03969397	0.05703396	0.00000025	1.00000000	1.00000000	0.00000008	1.00000000	1.00000000	0.02897907	0.00000260	0.00000414	0.02647309	0.00072515	0.00482845	0.03967869	0.07657723	0.19537930	0.7787918	NA	NA
PWY5897	PWY-5897: superpathway of menaquinol-11 biosynthesis	N	0.06277755	0.00028968	0.00149215	0.02342140	0.00001390	0.00002322	0.04189735	0.04736414	0.06338436	0.00000032	1.00000000	1.00000000	0.00000008	0.99880933	1.00000000	0.02815889	0.00000526	0.00000784	0.02666927	0.00054712	0.00393066	0.03627833	0.10412831	0.24481981	0.7807968	NA	NA
PWY5898	PWY-5898: superpathway of menaquinol-12 biosynthesis	N	0.06277755	0.00028968	0.00149215	0.02342140	0.00001390	0.00002322	0.04189735	0.04736414	0.06338436	0.00000032	1.00000000	1.00000000	0.00000008	0.99880933	1.00000000	0.02815889	0.00000526	0.00000784	0.02666927	0.00054712	0.00393066	0.03627833	0.10412831	0.24481981	0.7807968	NA	NA
PWY5899	PWY-5899: superpathway of menaquinol-13 biosynthesis	N	0.06277755	0.00028968	0.00149215	0.02342140	0.00001390	0.00002322	0.04189735	0.04736414	0.06338436	0.00000032	1.00000000	1.00000000	0.00000008	0.99880933	1.00000000	0.02815889	0.00000526	0.00000784	0.02666927	0.00054712	0.00393066	0.03627833	0.10412831	0.24481981	0.7807968	NA	NA
PWY5910	PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	N	0.01287388	0.15156569	0.26695119	0.09826725	0.00000000	0.00000000	0.10549545	0.00000542	0.00005478	0.00071078	0.81412378	1.00000000	0.01387176	0.05524611	0.14657677	0.03841268	0.00000000	0.00000000	0.02017022	0.01252147	0.03351334	0.06839234	0.00205015	0.03498064	0.6418056	NA	NA
PWY5913	PWY-5913: partial TCA cycle (obligate autotrophs)	N	0.01430604	0.31755156	0.44917915	0.08237966	0.00000000	0.00000000	0.13431127	0.00000001	0.00000069	0.00210044	0.53851963	0.72421605	0.00749607	0.18969208	0.36570459	0.02834823	0.00002376	0.00003196	0.00304041	0.68307122	0.78352287	0.05704294	0.00939380	0.05841765	0.6709749	NA	NA
