feature	is.community.feat	pheno	domain	trait	mb.coef	age.coef	DR.1D.coef	DR.2D.coef	DR.20.coef	DR.40.coef	mb.pval	mb.padj
CAG485	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02589125	 0.16025885	 0.09871880	 0.06405949	-0.04708355	-0.16567223	0.34371835	0.77169379
CAG510	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00302297	 0.16219396	 0.10701833	 0.08253215	-0.03002650	-0.14650415	0.91414451	0.98618060
CAG552NOV	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03105012	 0.15788641	 0.10996509	 0.08601898	-0.02913899	-0.13970235	0.25320540	0.69642825
CAG56	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.06435259	 0.16397163	 0.09797305	 0.08083774	-0.03601451	-0.18678538	0.01798054	0.25990314
CAG582	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00746136	 0.16096563	 0.10723116	 0.08273019	-0.02985750	-0.14354970	0.78486496	0.95196321
CAG776	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00150909	 0.16258510	 0.10765677	 0.08255629	-0.02951002	-0.14481679	0.95507569	0.99369328
CAG81	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00554854	 0.16289759	 0.10907533	 0.08458019	-0.02834085	-0.14309477	0.83414831	0.96620575
CAG873	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.04921610	 0.16220590	 0.09065041	 0.05791774	-0.05710635	-0.18033355	0.06645384	0.45244849
CAG95	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03734526	 0.15739850	 0.10505099	 0.07464872	-0.03804396	-0.15827857	0.15759434	0.59935639
COE1	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03421489	 0.15663956	 0.10013459	 0.06272492	-0.04336545	-0.18078572	0.22379759	0.67316283
Chao1	Y	Echo_StrokeVolume	Echo	StrokeVolume	 0.00272238	 0.16294035	 0.10726592	 0.08230150	-0.02975548	-0.14570941	0.91138969	0.98569153
Clostridium	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00401763	 0.16331155	 0.10740767	 0.08240373	-0.02924967	-0.14285229	0.87975021	0.97774166
ClostridiumQ	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00477067	 0.16243542	 0.10724415	 0.08309451	-0.03039460	-0.14857966	0.86120180	0.97370092
D1663	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.04678779	 0.15541973	 0.10551624	 0.08039792	-0.03967834	-0.12931004	0.07885434	0.47657076
Desulfovibrio	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01386493	 0.15850429	 0.10649684	 0.08244100	-0.03089131	-0.14733819	0.63056558	0.90690695
Dorea	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01926501	 0.16505234	 0.11107021	 0.08854739	-0.02559162	-0.13058052	0.47459765	0.84326023
Dubosiella	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.04279203	 0.14854374	 0.11083443	 0.08130109	-0.03285164	-0.17113148	0.13256410	0.56250471
Duncaniella	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.05385022	 0.16642136	 0.09734275	 0.05446983	-0.05104286	-0.17339259	0.04170674	0.38140410
Emergencia	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.04692242	 0.16592216	 0.10508818	 0.07799043	-0.02022022	-0.10035599	0.09106401	0.49774697
EnterococcusD	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03528014	 0.16971722	 0.11171237	 0.09173964	-0.02514711	-0.13218728	0.18868358	0.63656547
ErysipelatoclostridiaceaeNOV	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.03934586	 0.16470872	 0.10136245	 0.07305585	-0.03876606	-0.14315084	0.14103968	0.57577504
Erysipelatoclostridium	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01126791	 0.16147128	 0.10832204	 0.08531099	-0.02594131	-0.14213517	0.67203736	0.92039994
ErysipelotrichaceaeNOV	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02469465	 0.16782133	 0.09715445	 0.07811472	-0.03530147	-0.13235644	0.36974007	0.78815975
Escherichia	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01454379	 0.16106180	 0.10448067	 0.07598115	-0.03350310	-0.15590860	0.58901953	0.89359759
EubacteriumF	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00256027	 0.16300080	 0.10732161	 0.08193571	-0.02946352	-0.14485125	0.92144725	0.98790431
EubacteriumG	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01553712	 0.16080232	 0.10515896	 0.08040055	-0.03591620	-0.15385985	0.56276603	0.88328706
EubacteriumJ	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00861510	 0.16427368	 0.10891124	 0.08533897	-0.02563766	-0.13776350	0.75449848	0.94405783
Evtepia	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01576000	 0.16429285	 0.10403565	 0.08051205	-0.03684258	-0.16135756	0.56354011	0.88375193
Flavonifractor	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.02203007	 0.16402419	 0.10229778	 0.07805937	-0.03921379	-0.16275631	0.41051949	0.81036638
HungatellaA	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01648558	 0.15987674	 0.10573425	 0.08203280	-0.03298854	-0.15275882	0.54213780	0.87361232
Ileibacterium	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.04150274	 0.15441199	 0.10063487	 0.05944255	-0.04256996	-0.17230935	0.13412187	0.56541414
Kineothrix	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00078585	 0.16270554	 0.10708956	 0.08193125	-0.02987384	-0.14598651	0.97739291	0.99698201
Lachnospira	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.05626206	 0.17407434	 0.11370040	 0.09319410	-0.01736513	-0.10091542	0.04441822	0.39126269
LachnospiraceaeNOV	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00152422	 0.16263669	 0.10722242	 0.08242402	-0.02994391	-0.14592703	0.95416556	0.99369328
Lactobacillus	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.05799877	 0.15901705	 0.08715287	 0.04173305	-0.06178502	-0.19467276	0.03767413	0.36427944
Lawsonibacter	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01138401	 0.16255485	 0.10886897	 0.08405717	-0.02453602	-0.13747338	0.66290126	0.91757301
Ligilactobacillus	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.03441522	 0.14288577	 0.09239323	 0.06610112	-0.04160907	-0.16981172	0.31153066	0.74544171
Limosilactobacillus	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.03338701	 0.16349907	 0.09569568	 0.06441555	-0.05104510	-0.17526854	0.22062953	0.67022359
Mailhella	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02473912	 0.16301606	 0.10090641	 0.07462547	-0.03174939	-0.14084601	0.36514692	0.78493771
MarseilleP3106	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00300760	 0.16327174	 0.10711452	 0.08220267	-0.02996520	-0.14525355	0.90700550	0.98510625
MuribaculaceaeNOV	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.05097076	 0.14167945	 0.10059377	 0.07724551	-0.04061967	-0.16554699	0.08966398	0.49619489
Muribaculum	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.07357515	 0.14837840	 0.09066319	 0.04403913	-0.04758046	-0.17965259	0.00775094	0.17302501
Oscillibacter	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00051583	 0.16287137	 0.10738837	 0.08254964	-0.02934993	-0.14509581	0.98421326	0.99794273
OscillospiraceaeNOV	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.02823095	 0.15761619	 0.10597214	 0.07355200	-0.04181256	-0.16624787	0.30250453	0.73836184
PCoA1	Y	Echo_StrokeVolume	Echo	StrokeVolume	 0.05372044	 0.15409850	 0.08767466	 0.04639734	-0.06415300	-0.20611351	0.05758942	0.43175961
PCoA2	Y	Echo_StrokeVolume	Echo	StrokeVolume	-0.02146523	 0.16666105	 0.11381447	 0.09311467	-0.02338307	-0.12345681	0.43963254	0.82553041
PCoA3	Y	Echo_StrokeVolume	Echo	StrokeVolume	 0.00244183	 0.16385725	 0.10734357	 0.08217589	-0.02948160	-0.14493477	0.93471228	0.99108653
Paramuribaculum	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00787687	 0.16271282	 0.10411981	 0.07665716	-0.03482338	-0.15343197	0.77251748	0.94908611
Parvibacter	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.08924858	 0.15798788	 0.07988756	 0.04375862	-0.06505964	-0.14337655	0.00096413	0.05036345
Prevotella	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.05856816	 0.16405161	 0.09081071	 0.04431341	-0.04684092	-0.16120034	0.02976290	0.32796805
Romboutsia	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01239037	 0.16045769	 0.10739113	 0.08158765	-0.03059954	-0.15633916	0.66150284	0.91742563
Roseburia	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01048205	 0.16368395	 0.10257339	 0.07725815	-0.03139983	-0.14543586	0.69393005	0.92613344
RuminiclostridiumE	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03019536	 0.15865499	 0.10783266	 0.06394374	-0.03227404	-0.15784914	0.26899472	0.70920426
Schaedlerella	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02257373	 0.16444090	 0.11277275	 0.09293636	-0.01701751	-0.12159655	0.41646735	0.81322050
Shannon	Y	Echo_StrokeVolume	Echo	StrokeVolume	-0.01261340	 0.16306275	 0.10960614	 0.08129816	-0.02590045	-0.14125851	0.62987284	0.90678229
Simpson	Y	Echo_StrokeVolume	Echo	StrokeVolume	 0.00090940	 0.16282352	 0.10712869	 0.08231524	-0.02990451	-0.14578081	0.97204881	0.99657452
Staphylococcus	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00079390	 0.16293119	 0.10733027	 0.08231517	-0.02940854	-0.14480932	0.97615568	0.99695793
TF0111	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01624561	 0.15963462	 0.10347138	 0.07667021	-0.03427418	-0.16002989	0.55488420	0.87807593
Turicibacter	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02308035	 0.15292036	 0.11044933	 0.08301690	-0.02542567	-0.15156356	0.42877995	0.82072104
UBA11940	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03939982	 0.15849894	 0.10335661	 0.06488018	-0.03409383	-0.15426118	0.14370793	0.57806226
UBA11957	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03535194	 0.15561481	 0.08679196	 0.05289256	-0.05330653	-0.18713297	0.23721921	0.68513207
UBA1394	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01340031	 0.16499634	 0.10770900	 0.08485257	-0.03297516	-0.15070731	0.62423799	0.90572085
UBA1405	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02910088	 0.15743543	 0.11183755	 0.09167306	-0.02357687	-0.13258460	0.29937786	0.73557227
UBA2882	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.01164046	 0.16349764	 0.10888025	 0.09019604	-0.02732161	-0.14517873	0.67714791	0.92079911
UBA3282	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03773786	 0.15773722	 0.10668949	 0.08148965	-0.03409400	-0.15751785	0.14662135	0.58335813
UBA3700	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.02621917	 0.15801444	 0.10988627	 0.07812904	-0.02559781	-0.13418323	0.34841699	0.77544945
UBA3700NOV	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03206991	 0.15775003	 0.11972515	 0.10636470	-0.00974683	-0.11228689	0.25024243	0.69320335
UBA3818	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00179561	 0.16274471	 0.10667733	 0.08140971	-0.03076696	-0.14655701	0.94763508	0.99260584
UBA7160	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.04559987	 0.16158741	 0.10404897	 0.07515538	-0.03215264	-0.13479390	0.07957488	0.47816451
UBA7173	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.02890518	 0.16576735	 0.10014187	 0.06863794	-0.04020616	-0.16223087	0.28422120	0.72208011
UBA7182	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00068369	 0.16266596	 0.10718059	 0.08207071	-0.02990886	-0.14617974	0.98156108	0.99727196
UBA946	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00691707	 0.16213442	 0.10656952	 0.08069847	-0.02956881	-0.14415422	0.79674935	0.95549181
UBA9475	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01144130	 0.16053140	 0.10639492	 0.08057375	-0.03409457	-0.15230129	0.67467463	0.92052885
UBA9502	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00815011	 0.16181414	 0.10515966	 0.07984533	-0.03399615	-0.15361712	0.76792425	0.94733780
UMGS1004	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.03512240	 0.15902129	 0.10870096	 0.08678311	-0.01039780	-0.11075662	0.21420800	0.66255178
UMGS1217	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00864296	 0.16125114	 0.10624762	 0.07924066	-0.03074829	-0.14699568	0.74451222	0.94110315
UMGS1370	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00666027	 0.16247365	 0.10401613	 0.07905859	-0.03386462	-0.15305264	0.81219701	0.96051520
UMGS1815	N	Echo_StrokeVolume	Echo	StrokeVolume	 0.00402080	 0.16285640	 0.10527506	 0.07973076	-0.03384147	-0.15167013	0.89616462	0.98283328
UMGS1872	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01739035	 0.16310069	 0.10740188	 0.08314539	-0.03381105	-0.15795778	0.52362781	0.86684605
UMGS268	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.04469719	 0.15116039	 0.10685373	 0.07771556	-0.03105604	-0.14061731	0.10004879	0.51283482
X142	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.00242784	 0.16273720	 0.10697217	 0.08225007	-0.03074825	-0.14726693	0.92823411	0.98976205
X1XD4269	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.05208697	 0.15030869	 0.10831499	 0.07702199	-0.03066757	-0.14174564	0.04932758	0.40666632
X1XD876	N	Echo_StrokeVolume	Echo	StrokeVolume	-0.01355027	 0.16285739	 0.10577853	 0.07928312	-0.03322043	-0.15106462	0.60974720	0.90071091
uniq	Y	Echo_StrokeVolume	Echo	StrokeVolume	 0.03464805	 0.15593379	 0.09857272	 0.06422804	-0.03922367	-0.16667049	0.19597802	0.64371475
AF3328	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04773348	 0.52473339	-0.09678970	-0.11881146	-0.26098938	-0.50107089	0.02466113	0.30211409
AM0715	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04200145	 0.51959140	-0.09870417	-0.12851901	-0.27777713	-0.50095863	0.06238414	0.44259750
ASF356	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.00517341	 0.52625302	-0.09343932	-0.12593931	-0.25273268	-0.48437396	0.82479256	0.96327232
Acetatifactor	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.06342561	 0.52198109	-0.10855192	-0.11680800	-0.26156630	-0.46766459	0.00294632	0.09842395
Acutalibacter	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.01423289	 0.52619494	-0.09776399	-0.13160964	-0.25948950	-0.48923439	0.50930648	0.86058171
Adlercreutzia	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.03158891	 0.52577382	-0.10568154	-0.14345259	-0.26081176	-0.47280796	0.16809226	0.61450169
Akkermansia	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.03342362	 0.52522422	-0.08793502	-0.11812345	-0.25885260	-0.50386877	0.12090700	0.54597150
Alistipes	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00908392	 0.52429588	-0.09265875	-0.12577693	-0.25147832	-0.48136244	0.68870097	0.92424806
Anaerotignum	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00009966	 0.52766308	-0.09290679	-0.12517898	-0.25071933	-0.48115977	0.99627446	0.99940367
Anaerotruncus	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.01206456	 0.52714886	-0.08851020	-0.11991365	-0.24456189	-0.47341244	0.57582699	0.88789634
AnaerovoracaceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.05970849	 0.52723437	-0.10885622	-0.14727545	-0.25115614	-0.49784508	0.00482676	0.13475936
Angelakisella	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00648144	 0.52868108	-0.08991976	-0.12112949	-0.24705016	-0.47898545	0.77347652	0.94934852
Bacteroides	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.05510387	 0.51988958	-0.10750439	-0.15032246	-0.27487283	-0.49280336	0.01147187	0.21156208
Bifidobacterium	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.02063210	 0.53731972	-0.09604846	-0.12140801	-0.25515277	-0.47069766	0.40350162	0.80710875
BorkfalkiaceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.03064121	 0.52292192	-0.09284533	-0.12831178	-0.23728122	-0.46873559	0.16269875	0.60645924
ButyricicoccaceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00182118	 0.52775221	-0.09211045	-0.12415233	-0.24996294	-0.48078730	0.93218674	0.99053761
CAG115	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.03426231	 0.53029931	-0.08721496	-0.12989660	-0.24602576	-0.46618457	0.10850403	0.52796482
CAG145	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.02568052	 0.52898525	-0.09720740	-0.12453115	-0.25362598	-0.47627616	0.23393972	0.68252499
CAG273	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00651319	 0.52871156	-0.09276965	-0.12498127	-0.25081092	-0.47980461	0.76103695	0.94569933
CAG274NOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.06075769	 0.51879622	-0.10457163	-0.17491459	-0.27122026	-0.52731607	0.00957239	0.19226961
CAG303	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04473603	 0.52364026	-0.09852058	-0.13651907	-0.25574096	-0.49527657	0.03690763	0.36134502
CAG41	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04498220	 0.52590338	-0.10911313	-0.16627996	-0.25723416	-0.49583995	0.03966600	0.37345544
CAG475	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.08713958	 0.51267843	-0.10841610	-0.17448240	-0.25170928	-0.47745284	0.00011560	0.01190777
CAG485	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.04975438	 0.51795368	-0.10644911	-0.14663739	-0.27515970	-0.50655200	0.02932036	0.32510378
CAG510	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.05000923	 0.53626797	-0.08521151	-0.12868018	-0.24366889	-0.44090736	0.02409496	0.29909789
CAG552NOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.07725054	 0.50913602	-0.09804770	-0.12900924	-0.26146090	-0.47984654	0.00054930	0.03508693
CAG56	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.05204217	 0.53102983	-0.09859952	-0.13986947	-0.23839105	-0.45194805	0.01461184	0.23854970
CAG582	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.01133529	 0.52518689	-0.09236255	-0.12564020	-0.24981891	-0.47670210	0.59551683	0.89580384
CAG776	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.01286076	 0.52689319	-0.09150758	-0.12534478	-0.24901476	-0.47743879	0.54811444	0.87463226
CAG81	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.03143921	 0.52673320	-0.10056606	-0.13221635	-0.26262813	-0.49161398	0.14240496	0.57656823
CAG873	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.03446285	 0.52901470	-0.10620674	-0.14407493	-0.26722568	-0.49940655	0.10706872	0.52537925
CAG95	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.05174102	 0.52171272	-0.10836650	-0.13812477	-0.25940099	-0.49363374	0.01547840	0.24494684
COE1	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.05296134	 0.51801556	-0.10883911	-0.14644417	-0.28284777	-0.53536319	0.02745583	0.31607939
Chao1	Y	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.00705912	 0.52722175	-0.09290717	-0.12693541	-0.25016605	-0.48084591	0.73043983	0.93777726
Clostridium	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.02175669	 0.52569795	-0.09164593	-0.11911877	-0.24858046	-0.49728497	0.31172709	0.74544171
ClostridiumQ	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00605971	 0.52821897	-0.09320155	-0.12629355	-0.24967995	-0.47641908	0.77995716	0.95038685
D1663	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.02837207	 0.52811232	-0.07999566	-0.11102298	-0.24691532	-0.50176689	0.21919727	0.66864363
Desulfovibrio	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.05954339	 0.54378554	-0.07759628	-0.11936521	-0.25092594	-0.46051166	0.00739542	0.16925957
Dorea	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.01250713	 0.52899301	-0.09002979	-0.12214898	-0.24751719	-0.47323308	0.56761181	0.88509315
Dubosiella	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04708859	 0.54254739	-0.11694782	-0.13831714	-0.25818579	-0.46046716	0.03409921	0.34773934
Duncaniella	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.03714197	 0.52941044	-0.10485064	-0.14568056	-0.26515177	-0.49480601	0.08120881	0.48058486
Emergencia	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00653000	 0.52858861	-0.09570069	-0.12892969	-0.24843964	-0.47339200	0.79431583	0.95482031
EnterococcusD	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.02588570	 0.52076076	-0.09593578	-0.12766253	-0.25627715	-0.48785204	0.25372247	0.69679105
ErysipelatoclostridiaceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.04861183	 0.52771127	-0.10755094	-0.13495239	-0.25817569	-0.46477668	0.02265749	0.29050928
Erysipelatoclostridium	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.08245774	 0.52604908	-0.11509758	-0.13399687	-0.29656674	-0.50877920	0.00012549	0.01271758
ErysipelotrichaceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.00485343	 0.52737311	-0.09238311	-0.12515117	-0.25115129	-0.48735467	0.83106518	0.96576564
Escherichia	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.08743947	 0.51008233	-0.09660132	-0.14017970	-0.25498556	-0.51462948	0.00008049	0.00947830
EubacteriumF	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.02953303	 0.52314140	-0.08732882	-0.11622567	-0.24354739	-0.47806147	0.16221599	0.60562124
EubacteriumG	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.02484413	 0.52210276	-0.09911585	-0.13189651	-0.25955381	-0.48932430	0.25579462	0.69765444
EubacteriumJ	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04670343	 0.52334088	-0.10656003	-0.14562511	-0.27899892	-0.52673249	0.03949583	0.37266457
Evtepia	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.02499761	 0.52755173	-0.09738703	-0.13125902	-0.26622906	-0.50115168	0.24476948	0.69018732
Flavonifractor	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.03163285	 0.52700751	-0.09828756	-0.13638559	-0.26531947	-0.49892857	0.14264450	0.57656823
HungatellaA	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.01283188	 0.52499561	-0.09338535	-0.12460869	-0.25013581	-0.48234497	0.54400599	0.87399561
Ileibacterium	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00507200	 0.52699890	-0.09325030	-0.12923611	-0.25216770	-0.48369152	0.82367394	0.96326233
Kineothrix	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.00176885	 0.52789132	-0.09265548	-0.12430420	-0.24981082	-0.47913976	0.93977751	0.99152052
Lachnospira	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.03874150	 0.51941852	-0.08600708	-0.12130545	-0.25929888	-0.50802534	0.08869017	0.49496447
LachnospiraceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.03091436	 0.52052896	-0.09600658	-0.12658236	-0.25369147	-0.48102282	0.15045727	0.58854680
Lactobacillus	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.05238705	 0.52614257	-0.10771662	-0.17843355	-0.27935080	-0.51585164	0.02451509	0.30211409
Lawsonibacter	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.01705089	 0.52692967	-0.09722832	-0.13228394	-0.26054930	-0.48672935	0.42994601	0.82094455
Ligilactobacillus	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.06722677	 0.50671864	-0.15761627	-0.20139337	-0.32620747	-0.56865256	0.04750535	0.40070642
Limosilactobacillus	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.04016113	 0.52962388	-0.10218708	-0.16176989	-0.27223565	-0.51126502	0.07574748	0.47161482
Mailhella	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04016741	 0.52901275	-0.08489322	-0.11039456	-0.25024343	-0.49349079	0.06011157	0.43753600
MarseilleP3106	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04806493	 0.52421996	-0.09248729	-0.13041202	-0.23623588	-0.48246148	0.02022224	0.27483206
MuribaculaceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.01545832	 0.52114766	-0.09592108	-0.12366350	-0.25411096	-0.48570451	0.52241173	0.86644348
Muribaculum	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.08066304	 0.52192085	-0.12777461	-0.17012412	-0.29316859	-0.53310279	0.00030578	0.02366961
Oscillibacter	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.01597461	 0.52489328	-0.09671956	-0.13268969	-0.25620405	-0.48577702	0.46579163	0.83902832
OscillospiraceaeNOV	N	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.04095584	 0.52081435	-0.10316477	-0.14670167	-0.26661933	-0.49815379	0.07016608	0.46133210
PCoA1	Y	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.05477056	 0.51954405	-0.11511680	-0.16145381	-0.28994188	-0.52965741	0.01993755	0.27307576
PCoA2	Y	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	-0.00490675	 0.52830716	-0.09167870	-0.12385815	-0.24713878	-0.47463876	0.83792427	0.96712509
PCoA3	Y	FACS_B.CD11BposPercB	FACS	B.CD11BposPercB	 0.00744607	 0.52965811	-0.09169353	-0.12276772	-0.24881270	-0.47912412	0.74652867	0.94137820
