feature	full.pathway.name	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
POLYAMINSYN3PWY	POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	N	 0.16591662	0.03061770	0.00000006	0.00000026	 0.02472371	-0.14117751	 0.00101521	 0.16713167	0.06512623	0.06374901	0.06317991	0.06572691	0.00037867	0.00045143	0.05456902	0.02316895	0.00126338	0.00315058	0.00875101	0.01134929	0.00302222	0.03848910	0.00000004
POLYAMSYNPWY	POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	N	 0.07409350	0.03388079	0.02875870	0.04692325	-0.14161780	-0.34733333	-0.31085384	-0.10803608	0.06923557	0.06790752	0.06711176	0.06971020	0.00000014	0.00000025	0.03166639	0.01907588	0.01582318	0.02602246	0.02866255	0.01700612	0.01235010	0.04969543	0.00000004
POLYISOPRENSYNPWY	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	N	 0.02190452	0.02589680	0.39765695	0.47200151	 0.25969849	 0.61045955	 0.56593128	 0.76877096	0.07314961	0.07240545	0.07101611	0.07418096	0.00000000	0.00000000	0.09895678	0.02794658	0.00002091	0.00018476	0.01549869	0.00000008	0.02172075	0.05098771	0.04920449
PPGPPMETPWY	PPGPPMET-PWY: ppGpp metabolism	N	 0.09747606	0.04672941	0.03802284	0.06035021	-0.06267877	 0.05417132	 0.03641768	 0.05653183	0.06238669	0.06250351	0.06036041	0.06340014	0.34588048	0.35102368	0.12186306	0.03168539	0.00000366	0.00004461	0.00427797	0.30052294	0.01496990	0.03085428	0.10302600
PWY01061	PWY0-1061: superpathway of L-alanine biosynthesis	N	 0.28347717	0.03891941	0.00000000	0.00000000	-0.31662887	-0.16760609	-0.19979058	 0.15200334	0.07619825	0.07592770	0.07392854	0.07703346	0.00000001	0.00000002	0.06583979	0.02384242	0.00093803	0.00253232	0.02937068	0.04279553	0.04245755	0.05032181	0.03331227
PWY01241	PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	N	 0.00601851	0.03101987	0.84614763	0.87169171	-0.18422241	-0.28693345	-0.00950345	 0.09743542	0.07358483	0.07292954	0.07188121	0.07427840	0.00000360	0.00000546	0.00830482	0.01941818	0.64601717	0.68093702	0.01803436	0.01277429	0.02270151	0.02932660	0.05851964
PWY01261	PWY0-1261: anhydromuropeptides recycling I	N	 0.22852599	0.03204841	0.00000000	0.00000000	-0.10185041	 0.05243227	-0.15177879	 0.20297460	0.07274603	0.07232949	0.07113302	0.07368230	0.00003991	0.00005340	0.05420280	0.02548566	0.02584859	0.03986816	0.00259276	0.02093144	0.02660582	0.02887626	0.03113561
PWY01296	PWY0-1296: purine ribonucleosides degradation	N	-0.23790308	0.02783706	0.00000000	0.00000000	-0.21660467	-0.56611038	-0.34174072	-0.63263315	0.06562090	0.06467211	0.06365742	0.06666679	0.00000000	0.00000000	0.12552129	0.02979419	0.00000020	0.00000921	0.00552351	0.00726040	0.00474352	0.04753547	0.05390372
PWY01297	PWY0-1297: superpathway of purine deoxyribonucleosides degradation	N	 0.16163094	0.03286532	0.00000086	0.00000317	-0.25671885	-0.19813070	-0.27928482	 0.15982701	0.07267522	0.07212527	0.07092623	0.07339132	0.00000000	0.00000000	0.02269920	0.01991342	0.21137191	0.23943789	0.04536164	0.01909685	0.02813778	0.03327244	0.03279644
PWY01298	PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	N	 0.06315386	0.03339951	0.05862014	0.08744972	-0.22951848	-0.22769401	-0.25747292	 0.06259876	0.06869647	0.06813718	0.06742124	0.06941361	0.00000024	0.00000041	0.01581059	0.01802290	0.31185608	0.34191449	0.03276945	0.02440382	0.01706144	0.01579204	0.02416445
PWY01319	PWY0-1319: CDP-diacylglycerol biosynthesis II	N	-0.10235713	0.03214337	0.00145086	0.00324660	-0.26829958	-0.52135258	-0.33893727	-0.77697557	0.06602513	0.06626425	0.06493936	0.06733921	0.00000000	0.00000000	0.11283476	0.02915771	0.00000140	0.00002539	0.00758798	0.03476301	0.01584549	0.00875233	0.06121246
PWY01477	PWY0-1477: ethanolamine utilization	N	 0.14214794	0.03706629	0.00012538	0.00032291	-0.25469464	-0.24986829	-0.35416275	 0.01331343	0.07403957	0.07317323	0.07193508	0.07468030	0.00000003	0.00000005	0.02463391	0.02092736	0.18529766	0.21434857	0.02032055	0.03042978	0.02224717	0.04784596	0.05516412
PWY01479	PWY0-1479: tRNA processing	N	 0.10566018	0.02931909	0.00031316	0.00077720	-0.30718274	-0.15141582	-0.25279226	-0.07140769	0.07379618	0.07298452	0.07191595	0.07467221	0.00007391	0.00009563	0.05827976	0.02442716	0.00681627	0.01274549	0.01552891	0.00617104	0.02200358	0.03941187	0.01744844
PWY01586	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	N	 0.10394912	0.02640032	0.00008251	0.00022751	 0.18406891	 0.45164181	 0.32486348	 0.61456803	0.07262879	0.07227921	0.07092392	0.07376965	0.00000000	0.00000000	0.09506050	0.02833419	0.00009242	0.00045875	0.01700630	0.00340001	0.02417376	0.03102523	0.04061486
PWY0162	PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	N	 0.22652298	0.02841603	0.00000000	0.00000000	 0.04629009	 0.19886542	 0.19652793	 0.73018675	0.07265778	0.07275469	0.07088341	0.07372713	0.00000000	0.00000000	0.08551800	0.02808202	0.00023997	0.00101611	0.01995262	0.01120431	0.03592095	0.03019554	0.06705918
PWY0166	PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	N	-0.01352581	0.02564659	0.59788343	0.65288871	 0.08273187	 0.42254588	 0.38836590	 0.57262231	0.07190830	0.07106489	0.07000390	0.07292035	0.00000000	0.00000000	0.07816923	0.02619164	0.00036522	0.00126553	0.01394815	0.00000008	0.01523189	0.04026359	0.04832648
PWY0301	PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	N	 0.15620750	0.02705676	0.00000001	0.00000004	-0.04176162	 0.05784479	-0.10209570	 0.11087690	0.07334518	0.07253638	0.07158585	0.07419937	0.05826454	0.06165201	0.04218102	0.02441337	0.06884294	0.08782300	0.00000009	0.00257291	0.02109600	0.03447390	0.03825571
PWY0845	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	N	-0.00419786	0.03136308	0.89353839	0.91361790	-0.09237237	-0.04857055	 0.08711459	 0.37651118	0.06931942	0.06849750	0.06768659	0.07022021	0.00000000	0.00000000	0.06490316	0.02503833	0.00368903	0.00768783	0.02290502	0.01438672	0.01160534	0.02879744	0.02346754
PWY0862	PWY0-862: (5Z)-dodecenoate biosynthesis I	N	 0.20044815	0.02505193	0.00000000	0.00000000	 0.04101728	 0.12308157	 0.18893474	 0.46300469	0.07170446	0.07092266	0.06989253	0.07258485	0.00000000	0.00000000	0.04734041	0.02594665	0.05339588	0.07076250	0.00191517	0.00000008	0.02031610	0.03788225	0.05777564
PWY1042	PWY-1042: glycolysis IV	N	-0.31428336	0.02958930	0.00000000	0.00000000	-0.15471517	-0.54242972	-0.29037817	-0.75779819	0.06488777	0.06453374	0.06314600	0.06593011	0.00000000	0.00000000	0.13352876	0.02935504	0.00000001	0.00000099	0.01668828	0.02046880	0.02308823	0.04058885	0.03131743
PWY1269	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	N	 0.01098636	0.03154950	0.72773662	0.77304318	-0.17657960	-0.12867248	-0.15066080	 0.05178740	0.07178675	0.07064177	0.06981407	0.07237772	0.00411778	0.00472334	0.01873549	0.02206809	0.37709660	0.40690661	0.00000009	0.01329478	0.01223745	0.04115768	0.06176586
PWY1861	PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	N	 0.06216896	0.02510022	0.01325315	0.02349423	-0.06646919	 0.01665249	-0.02991414	-0.02516416	0.06951644	0.06887412	0.06832632	0.07028307	0.83545988	0.83545988	0.00489615	0.01802645	0.77282876	0.79917520	0.00760576	0.00269504	0.01688644	0.01294413	0.02716485
PWY1ZNC1	PWY1ZNC-1: assimilatory sulfate reduction IV	N	 0.12837554	0.03043502	0.00002467	0.00007483	-0.22332592	-0.19318290	-0.17623010	 0.05254114	0.07382190	0.07313262	0.07214226	0.07459450	0.00020005	0.00024491	0.03167830	0.02161346	0.13044076	0.15283402	0.00958508	0.01078434	0.02723927	0.03168417	0.00335316
PWY241	PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	N	 0.02955207	0.02751176	0.28333991	0.36145699	 0.23352413	 0.39397756	 0.56547426	 0.77159471	0.06515198	0.06412246	0.06346765	0.06609349	0.00000000	0.00000000	0.08825697	0.02645677	0.00010579	0.00050229	0.00975159	0.00640632	0.00370747	0.03158247	0.02310062
PWY2941	PWY-2941: L-lysine biosynthesis II	N	 0.20900606	0.03219212	0.00000000	0.00000000	 0.46651344	 0.50165715	 0.67591882	 0.95374900	0.06420199	0.06311186	0.06201148	0.06472692	0.00000000	0.00000000	0.04533706	0.02219101	0.01747349	0.02856446	0.00377176	0.02701143	0.01742738	0.07420911	0.04017932
PWY2942	PWY-2942: L-lysine biosynthesis III	N	-0.06558932	0.02887942	0.02313953	0.03875516	-0.16163319	-0.45686086	-0.25009082	-0.37383036	0.07446870	0.07386824	0.07267607	0.07540225	0.00000000	0.00000000	0.05906687	0.02436236	0.00514131	0.00995446	0.00499648	0.00663601	0.02733378	0.03594448	0.02143157
PWY3001	PWY-3001: superpathway of L-isoleucine biosynthesis I	N	 0.07308684	0.03687718	0.04748839	0.07324480	 0.31247247	 0.08912010	 0.28299503	 0.32977666	0.07104305	0.06950970	0.06828786	0.07119888	0.00000050	0.00000085	0.00000029	0.00000001	1.00000000	1.00000000	0.05199060	0.02213898	0.01760681	0.09039842	0.03023080
PWY3841	PWY-3841: folate transformations II (plants)	N	-0.04632575	0.03256399	0.15483081	0.21347885	 0.22101093	 0.12174175	 0.34018600	 0.28193949	0.07573547	0.07495904	0.07370133	0.07659045	0.00003176	0.00004314	0.06315569	0.01707919	0.00040014	0.00134863	0.01422403	0.01318751	0.02839268	0.04644575	0.00000004
PWY4041	PWY-4041: &gamma;-glutamyl cycle	N	 0.19445312	0.04615122	0.00002627	0.00007882	-0.03503433	-0.00699572	-0.00396989	 0.06441403	0.06802390	0.06770840	0.06625233	0.06911520	0.73605319	0.73875926	0.11197954	0.02882223	0.00000452	0.00004941	0.03408863	0.09423846	0.01528522	0.03169382	0.05728334
PWY4984	PWY-4984: urea cycle	N	-0.01742114	0.02423349	0.47178165	0.54116131	-0.39526135	-0.68089834	-0.62751669	-0.77744271	0.06813017	0.06748722	0.06658663	0.06902111	0.00000000	0.00000000	0.05375457	0.02265693	0.00412115	0.00830210	0.03868671	0.00096889	0.02372746	0.03049307	0.00000021
PWY4FS7	PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	N	-0.01935379	0.02507053	0.44010829	0.51566336	 0.25428843	 0.58642068	 0.50296589	 0.71426951	0.07307520	0.07253489	0.07122878	0.07415461	0.00000000	0.00000000	0.08196539	0.02710031	0.00031844	0.00115914	0.01316551	0.00000008	0.02269737	0.03697606	0.05369837
PWY4FS8	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	N	-0.01935379	0.02507053	0.44010829	0.51566336	 0.25428843	 0.58642068	 0.50296589	 0.71426951	0.07307520	0.07253489	0.07122878	0.07415461	0.00000000	0.00000000	0.08196539	0.02710031	0.00031844	0.00115914	0.01316551	0.00000008	0.02269737	0.03697606	0.05369837
PWY4LZ257	PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	N	 0.12335886	0.03200241	0.00011518	0.00030528	-0.25827505	-0.23081150	-0.29031878	 0.11194728	0.07134561	0.07061634	0.06961906	0.07198583	0.00000000	0.00000000	0.01834419	0.01856398	0.28081404	0.31037341	0.05752131	0.01589126	0.02430562	0.03325587	0.01930794
PWY5005	PWY-5005: biotin biosynthesis II	N	-0.15403386	0.02815756	0.00000005	0.00000020	-0.15439427	-0.25719572	-0.19561598	-0.23043017	0.06533800	0.06480042	0.06411756	0.06651009	0.00034004	0.00040894	0.09616332	0.02822630	0.00005851	0.00030955	0.01405504	0.01136624	0.00458287	0.01397991	0.03590898
PWY5022	PWY-5022: 4-aminobutanoate degradation V	N	 0.03651832	0.02720524	0.17947089	0.23900270	-0.00871268	-0.02825453	-0.08489237	-0.10286874	0.06768374	0.06599020	0.06530682	0.06787562	0.47001580	0.47523820	0.00574142	0.01282014	0.67704337	0.70817181	0.04390239	0.00000035	0.00929678	0.05696300	0.00000034
PWY5030	PWY-5030: L-histidine degradation III	N	 0.18388041	0.03700866	0.00000067	0.00000254	-0.02570023	-0.21960011	 0.00345216	 0.11599970	0.06585607	0.06470167	0.06355550	0.06637253	0.00005921	0.00007771	0.03578813	0.01984427	0.03327580	0.04991370	0.13466965	0.03049009	0.00975324	0.06181299	0.05547655
PWY5097	PWY-5097: L-lysine biosynthesis VI	N	-0.05777397	0.02758840	0.03625649	0.05788317	-0.12924325	-0.51771983	-0.22425460	-0.42238239	0.07386931	0.07325434	0.07201760	0.07495987	0.00000000	0.00000000	0.09694403	0.02782186	0.00003519	0.00023674	0.00317652	0.00358559	0.02408219	0.03881696	0.01978134
PWY5100	PWY-5100: pyruvate fermentation to acetate and lactate II	N	-0.10294370	0.04087768	0.01157390	0.02092501	-0.03221301	 0.13656885	-0.13401006	-0.19366478	0.06863620	0.06770165	0.06670324	0.06955305	0.00008334	0.00010632	0.08757841	0.02614427	0.00005866	0.00030955	0.01089428	0.05909678	0.00904720	0.04170437	0.02775293
PWY5103	PWY-5103: L-isoleucine biosynthesis III	N	 0.03439740	0.03489279	0.32428147	0.40240382	 0.05816062	-0.30261051	-0.04724395	 0.10296812	0.07640349	0.07531840	0.07394681	0.07705196	0.00000304	0.00000469	0.04091071	0.02260716	0.03986181	0.05819398	0.00000008	0.01925020	0.02561346	0.06902570	0.03744235
PWY5121	PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	N	 0.02233812	0.02604915	0.39117063	0.46837536	 0.23556350	 0.57112629	 0.53771863	 0.74503881	0.07334908	0.07260815	0.07116064	0.07444169	0.00000000	0.00000000	0.11704836	0.02928740	0.00000127	0.00002539	0.01289377	0.00000008	0.02058064	0.05295173	0.04961798
PWY5136	PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	N	-0.00049396	0.03081852	0.98720202	0.98720202	-0.02150648	 0.01356588	-0.07670510	 0.01645875	0.07000402	0.06867235	0.06782290	0.07052797	0.67720288	0.68220069	0.03621481	0.01484738	0.00915203	0.01633010	0.05534244	0.00754545	0.01337487	0.05222979	0.00000053
PWY5154	PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	N	-0.03078770	0.02605411	0.23756253	0.30736763	 0.32462763	 0.68658752	 0.52493925	 0.78769978	0.07124571	0.07110078	0.06983887	0.07241622	0.00000000	0.00000000	0.08108727	0.02637050	0.00014040	0.00063884	0.00531438	0.00517438	0.02384972	0.02040292	0.04887930
PWY5188	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	N	-0.03586890	0.02939804	0.22237168	0.29046636	-0.18426557	-0.43999338	-0.37779474	-0.45445456	0.07085076	0.06960616	0.06875302	0.07129673	0.00000000	0.00000000	0.00712587	0.01869018	0.68568681	0.71175855	0.01401175	0.00617073	0.01569840	0.04892165	0.04241541
PWY5189	PWY-5189: tetrapyrrole biosynthesis II (from glycine)	N	 0.23887039	0.02501976	0.00000000	0.00000000	-0.09379216	 0.09434145	 0.07881905	 0.62504285	0.07273503	0.07223616	0.07098383	0.07367628	0.00000000	0.00000000	0.05634999	0.02517988	0.01541373	0.02551291	0.00547219	0.00063343	0.03234112	0.03643017	0.02237224
PWY5345	PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	N	 0.16927990	0.02700292	0.00000000	0.00000000	-0.07478785	 0.00814329	 0.05181839	 0.37374334	0.07485979	0.07451185	0.07317271	0.07590325	0.00000021	0.00000037	0.06899590	0.02530318	0.00243300	0.00548930	0.00915810	0.00363244	0.03367458	0.03139381	0.00788755
PWY5347	PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	N	 0.09177872	0.02988242	0.00213115	0.00454535	-0.01035464	 0.09729281	-0.07026444	 0.11237473	0.06986396	0.06856696	0.06781800	0.07067160	0.05788348	0.06148712	0.07599527	0.01824313	0.00045357	0.00143981	0.00000009	0.00648003	0.00924954	0.04684952	0.00000054
PWY5384	PWY-5384: sucrose degradation IV (sucrose phosphorylase)	N	 0.14032279	0.02680726	0.00000017	0.00000071	 0.07034184	 0.29565001	 0.29731833	 0.41743814	0.08469502	0.08523025	0.08190922	0.08559047	0.00000085	0.00000138	0.05306521	0.02445719	0.01422628	0.02410460	0.03711000	0.00123151	0.07888315	0.04766234	0.05807427
PWY5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	N	 0.09494701	0.03195334	0.00296643	0.00618196	 0.33200586	 0.47998917	 0.49041521	 0.49981884	0.06356071	0.06249485	0.06192716	0.06444490	0.00000000	0.00000000	0.08430114	0.02648038	0.00022124	0.00095870	0.00442237	0.02270250	0.00036055	0.02793129	0.02127051
PWY5497	PWY-5497: purine nucleobases degradation II (anaerobic)	N	 0.16141761	0.03059332	0.00000013	0.00000057	-0.05521884	-0.07402766	 0.04130384	 0.23879489	0.07391038	0.07315918	0.07208565	0.07464653	0.00058917	0.00069630	0.03430361	0.02136763	0.06633277	0.08501806	0.03051788	0.00989909	0.02811645	0.03767497	0.00000022
PWY5505	PWY-5505: L-glutamate and L-glutamine biosynthesis	N	 0.08022088	0.03183929	0.01175800	0.02111798	-0.17544605	-0.32429929	-0.10996354	-0.16199088	0.06660058	0.06535974	0.06471904	0.06708614	0.00004452	0.00005929	0.02857523	0.01971383	0.07108748	0.09026456	0.04630597	0.01422546	0.00999238	0.03821430	0.00000012
PWY561	PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	N	 0.17089832	0.02811990	0.00000000	0.00000001	-0.03045786	 0.13628324	-0.01789091	 0.27632665	0.07178931	0.07096137	0.07006714	0.07269788	0.00007296	0.00009485	0.06344958	0.02479644	0.00423695	0.00844297	0.00000009	0.00545098	0.01979344	0.03507490	0.01281308
PWY5659	PWY-5659: GDP-mannose biosynthesis	N	 0.07508681	0.03510529	0.03244175	0.05240590	-0.01272288	 0.02911976	-0.08609875	 0.04266977	0.06375564	0.06297795	0.06244216	0.06463297	0.34159994	0.34797307	0.06019596	0.02322920	0.00258259	0.00568587	0.05864689	0.02974750	0.00296690	0.01554740	0.02365484
PWY5667	PWY-5667: CDP-diacylglycerol biosynthesis I	N	-0.10235713	0.03214337	0.00145086	0.00324660	-0.26829958	-0.52135258	-0.33893727	-0.77697557	0.06602513	0.06626425	0.06493936	0.06733921	0.00000000	0.00000000	0.11283476	0.02915771	0.00000140	0.00002539	0.00758798	0.03476301	0.01584549	0.00875233	0.06121246
PWY5675	PWY-5675: nitrate reduction V (assimilatory)	N	 0.18512221	0.02489833	0.00000000	0.00000000	-0.02544681	 0.06113671	 0.03628078	 0.38778856	0.07304365	0.07245175	0.07137568	0.07402234	0.00000023	0.00000040	0.05456480	0.02414545	0.00895516	0.01619045	0.00000009	0.00000033	0.02667969	0.03227165	0.02915679
PWY5676	PWY-5676: acetyl-CoA fermentation to butanoate II	N	-0.02392073	0.02815208	0.39552138	0.47151676	-0.08225728	-0.15925006	-0.35836929	-0.50060237	0.06239199	0.06091039	0.06043596	0.06261159	0.00000000	0.00000000	0.00000036	0.00000001	1.00000000	1.00000000	0.05374848	0.00689924	0.00000009	0.03370982	0.04001107
PWY5686	PWY-5686: UMP biosynthesis I	N	-0.10282697	0.03145163	0.00107716	0.00247114	-0.22569858	-0.46785420	-0.33043468	-0.69509415	0.06771212	0.06680496	0.06599176	0.06867481	0.00000000	0.00000000	0.09409887	0.02673188	0.00005896	0.00030955	0.00000008	0.01902941	0.01267631	0.03699005	0.00000005
PWY5695	PWY-5695: inosine 5'-phosphate degradation	N	 0.07873214	0.03548487	0.02648613	0.04382250	 0.20209446	 0.49750352	 0.39800281	 0.40313662	0.06593751	0.06525252	0.06431132	0.06705905	0.00000000	0.00000000	0.11236057	0.03076768	0.00002166	0.00018476	0.00441619	0.04289597	0.00247691	0.02790581	0.06640045
PWY5723	PWY-5723: Rubisco shunt	N	-0.01569737	0.03064833	0.60840780	0.66173438	-0.30262988	-0.22191943	-0.39936863	-0.37725493	0.07070603	0.06941940	0.06857806	0.07121511	0.00000001	0.00000001	0.01903294	0.02088062	0.32506068	0.35496627	0.00773032	0.00879009	0.01138096	0.04917575	0.05035001
PWY5837	PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	N	 0.17950502	0.02684381	0.00000000	0.00000000	-0.10466887	 0.02900795	-0.00470224	 0.31478658	0.07452700	0.07391777	0.07272183	0.07542828	0.00000341	0.00000523	0.04683470	0.02487265	0.04197239	0.06017837	0.00000009	0.00251832	0.02849293	0.03642254	0.03819487
PWY5838	PWY-5838: superpathway of menaquinol-8 biosynthesis I	N	 0.17248774	0.02807797	0.00000000	0.00000000	-0.07462048	 0.09045848	-0.02594751	 0.25715390	0.07487174	0.07423846	0.07301033	0.07580737	0.00027360	0.00033197	0.05823662	0.02640147	0.01932110	0.03121101	0.00000008	0.00450164	0.02648348	0.03828329	0.03966831
PWY5840	PWY-5840: superpathway of menaquinol-7 biosynthesis	N	 0.17736341	0.02645522	0.00000000	0.00000000	-0.10169428	 0.03399562	 0.00555390	 0.33400860	0.07433952	0.07374161	0.07254027	0.07525525	0.00000097	0.00000156	0.04785469	0.02513677	0.03856227	0.05690540	0.00000009	0.00192682	0.02770610	0.03596641	0.04436586
PWY5897	PWY-5897: superpathway of menaquinol-11 biosynthesis	N	 0.18044694	0.02637243	0.00000000	0.00000000	-0.10018994	 0.02951992	 0.00074203	 0.32386830	0.07423666	0.07363221	0.07245853	0.07514640	0.00000206	0.00000325	0.04623989	0.02489502	0.04467104	0.06190454	0.00000009	0.00183485	0.02784774	0.03534728	0.04059656
PWY5898	PWY-5898: superpathway of menaquinol-12 biosynthesis	N	 0.18044694	0.02637243	0.00000000	0.00000000	-0.10018994	 0.02951992	 0.00074203	 0.32386830	0.07423666	0.07363221	0.07245853	0.07514640	0.00000206	0.00000325	0.04623989	0.02489502	0.04467104	0.06190454	0.00000009	0.00183485	0.02784774	0.03534728	0.04059656
PWY5899	PWY-5899: superpathway of menaquinol-13 biosynthesis	N	 0.18044694	0.02637243	0.00000000	0.00000000	-0.10018994	 0.02951992	 0.00074203	 0.32386830	0.07423666	0.07363221	0.07245853	0.07514640	0.00000206	0.00000325	0.04623989	0.02489502	0.04467104	0.06190454	0.00000009	0.00183485	0.02784774	0.03534728	0.04059656
PWY5910	PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	N	 0.00726877	0.02740369	0.79084238	0.83038450	 0.23315256	 0.66341091	 0.52103193	 0.79180843	0.07363071	0.07320433	0.07151674	0.07475204	0.00000000	0.00000000	0.11839747	0.03115475	0.00000482	0.00005065	0.01883950	0.00403763	0.02258900	0.04492028	0.07461968
PWY5913	PWY-5913: partial TCA cycle (obligate autotrophs)	N	 0.09248270	0.02439017	0.00014938	0.00038113	 0.25502022	 0.57978182	 0.55825181	 0.68078650	0.06646096	0.06574902	0.06473880	0.06776950	0.00000000	0.00000000	0.14992420	0.03188166	0.00000000	0.00000051	0.01000904	0.00093647	0.00299694	0.03252178	0.06224073
PWY5941	PWY-5941: glycogen degradation II	N	-0.10406131	0.03923144	0.00800212	0.01496287	-0.27433785	-0.28817715	-0.42877003	-0.43059717	0.06702369	0.06592085	0.06499843	0.06780319	0.00000000	0.00000000	0.07536759	0.02502814	0.00056840	0.00166853	0.00624727	0.05528009	0.00804567	0.04820276	0.02120004
PWY5973	PWY-5973: cis-vaccenate biosynthesis	N	 0.05811472	0.03978783	0.14415837	0.20079202	 0.22178938	 0.29820306	 0.25577659	 0.36839640	0.06949326	0.06899535	0.06786274	0.07049557	0.00000067	0.00000114	0.08144451	0.02664422	0.00044317	0.00142336	0.00745065	0.06659305	0.01590064	0.02885114	0.03918463
PWY5981	PWY-5981: CDP-diacylglycerol biosynthesis III	N	-0.00873316	0.02470187	0.72367361	0.77173006	 0.32577816	 0.74789897	 0.65530676	 0.84866640	0.06714644	0.06708190	0.06568749	0.06853283	0.00000000	0.00000000	0.14510665	0.03310063	0.00000004	0.00000298	0.01374275	0.00464218	0.00769253	0.01914884	0.10844339
PWY5989	PWY-5989: stearate biosynthesis II (bacteria and plants)	N	 0.19396769	0.02536355	0.00000000	0.00000000	 0.02469672	 0.10533637	 0.15502311	 0.40842499	0.07303620	0.07230837	0.07120616	0.07394663	0.00000036	0.00000061	0.05196723	0.02574305	0.03259692	0.04916552	0.00295762	0.00000009	0.02444488	0.03861151	0.04026864
PWY6121	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	N	-0.09995709	0.02784768	0.00033211	0.00080952	-0.11412972	-0.56745604	-0.18028822	-0.24295499	0.07127633	0.07024221	0.06919535	0.07226958	0.00000000	0.00000000	0.09567777	0.02817801	0.00003444	0.00023674	0.00000008	0.00297806	0.01025733	0.04924449	0.05536878
PWY6122	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	N	-0.10726402	0.02753056	0.00009773	0.00026158	-0.18713455	-0.62244885	-0.30001694	-0.46488494	0.06772875	0.06655157	0.06570559	0.06872224	0.00000000	0.00000000	0.10880812	0.02841894	0.00000279	0.00003815	0.00000008	0.00333259	0.00473580	0.04760716	0.03193265
PWY6123	PWY-6123: inosine-5'-phosphate biosynthesis I	N	 0.14778121	0.03610862	0.00004264	0.00012126	 0.38066049	 0.38118109	 0.59756923	 0.78635144	0.06412727	0.06322438	0.06242810	0.06483967	0.00000000	0.00000000	0.05794165	0.02324155	0.00413585	0.00830210	0.01500974	0.04434803	0.01166268	0.03724026	0.01754190
PWY6124	PWY-6124: inosine-5'-phosphate biosynthesis II	N	 0.15590451	0.03597412	0.00001467	0.00004657	 0.37798097	 0.40018194	 0.59103514	 0.80012706	0.06441094	0.06352977	0.06269679	0.06511905	0.00000000	0.00000000	0.05582296	0.02325226	0.00589987	0.01126339	0.01510251	0.04384336	0.01254461	0.03820749	0.02278470
PWY6125	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	N	-0.09390188	0.03194400	0.00328681	0.00674661	 0.33320200	 0.41004636	 0.45136996	 0.33371991	0.06983898	0.06859221	0.06764026	0.07069501	0.00000000	0.00000000	0.07939663	0.02733367	0.00058473	0.00169820	0.00000008	0.01284953	0.00294578	0.05218298	0.06729351
PWY6126	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	N	-0.08541509	0.03181327	0.00725793	0.01375983	 0.33915774	 0.41216727	 0.45994092	 0.35134992	0.06911644	0.06783120	0.06692917	0.06994909	0.00000000	0.00000000	0.07707357	0.02697066	0.00065210	0.00183529	0.00000008	0.01281118	0.00148155	0.05104464	0.06680451
PWY6143	PWY-6143: CMP-pseudaminate biosynthesis	N	-0.21801492	0.02741871	0.00000000	0.00000000	-0.10941957	-0.41210750	-0.16198348	-0.38557258	0.06833811	0.06772886	0.06670927	0.06926008	0.00000000	0.00000000	0.05346586	0.02685915	0.02183370	0.03485731	0.01313858	0.00775580	0.01020883	0.02808845	0.09967983
