feature,term.clean,PVE,is.sig
Schaedlerella,Cohort,0.02473385,FALSE
Schaedlerella,Diet,0.13048323,TRUE
Schaedlerella,Genetics,0.07002011,TRUE
Schaedlerella,Mouse,0.05481669,FALSE
Schaedlerella,Time,0.02005927,FALSE
Shannon,Age,0.00000008,FALSE
Shannon,Batch,0.02071242,TRUE
Shannon,Cage,0.01932283,FALSE
Shannon,Cohort,0.00000008,FALSE
Shannon,Diet,0.04059953,TRUE
Shannon,Genetics,0.02535721,FALSE
Shannon,Mouse,0.07402595,TRUE
Shannon,Time,0.00729790,FALSE
Simpson,Age,0.00000009,FALSE
Simpson,Batch,0.01946845,TRUE
Simpson,Cage,0.01023734,FALSE
Simpson,Cohort,0.00076733,FALSE
Simpson,Diet,0.03575003,TRUE
Simpson,Genetics,0.00703828,FALSE
Simpson,Mouse,0.06287135,TRUE
Simpson,Time,0.00980014,TRUE
Staphylococcus,Age,0.05288600,TRUE
Staphylococcus,Batch,0.08523069,TRUE
Staphylococcus,Cage,0.11291388,TRUE
Staphylococcus,Cohort,0.00000007,FALSE
Staphylococcus,Diet,0.04990449,TRUE
Staphylococcus,Genetics,0.01067821,FALSE
Staphylococcus,Mouse,0.00000023,FALSE
Staphylococcus,Time,0.01091368,FALSE
TF0111,Age,0.04030234,TRUE
TF0111,Batch,0.03971716,TRUE
TF0111,Cage,0.02738681,TRUE
TF0111,Cohort,0.01716502,FALSE
TF0111,Diet,0.15253037,TRUE
TF0111,Genetics,0.10789305,TRUE
TF0111,Mouse,0.01525616,FALSE
TF0111,Time,0.00229639,FALSE
Turicibacter,Age,0.33288424,TRUE
Turicibacter,Batch,0.02930465,TRUE
Turicibacter,Cage,0.06212942,TRUE
Turicibacter,Cohort,0.01112331,FALSE
Turicibacter,Diet,0.05051436,TRUE
Turicibacter,Genetics,0.04660208,TRUE
Turicibacter,Mouse,0.04163414,TRUE
Turicibacter,Time,0.00430784,FALSE
UBA11940,Age,0.02803725,FALSE
UBA11940,Batch,0.02924445,TRUE
UBA11940,Cage,0.04666370,TRUE
UBA11940,Cohort,0.02202291,FALSE
UBA11940,Diet,0.02286411,TRUE
UBA11940,Genetics,0.09802304,TRUE
UBA11940,Mouse,0.15671820,TRUE
UBA11940,Time,0.01770033,TRUE
UBA11957,Age,0.07807793,TRUE
UBA11957,Batch,0.02646789,TRUE
UBA11957,Cage,0.04373705,TRUE
UBA11957,Cohort,0.00692312,FALSE
UBA11957,Diet,0.17451648,TRUE
UBA11957,Genetics,0.10948976,TRUE
UBA11957,Mouse,0.07976003,TRUE
UBA11957,Time,0.02218783,TRUE
UBA1394,Age,0.00954726,FALSE
UBA1394,Batch,0.01519014,TRUE
UBA1394,Cage,0.02074418,FALSE
UBA1394,Cohort,0.00295623,FALSE
UBA1394,Diet,0.04211981,TRUE
UBA1394,Genetics,0.11920125,TRUE
UBA1394,Mouse,0.13346267,TRUE
UBA1394,Time,0.02969314,TRUE
UBA1405,Age,0.05292474,TRUE
UBA1405,Batch,0.07222066,TRUE
UBA1405,Cage,0.05323415,TRUE
UBA1405,Cohort,0.11626277,TRUE
UBA1405,Diet,0.02186689,TRUE
UBA1405,Genetics,0.05072641,TRUE
UBA1405,Mouse,0.01578544,FALSE
UBA1405,Time,0.09216284,TRUE
UBA2882,Age,0.00522638,FALSE
UBA2882,Batch,0.02063849,TRUE
UBA2882,Cage,0.01683528,FALSE
UBA2882,Cohort,0.00687362,FALSE
UBA2882,Diet,0.08300815,TRUE
UBA2882,Genetics,0.14030504,TRUE
UBA2882,Mouse,0.13578503,TRUE
UBA2882,Time,0.02361613,TRUE
UBA3282,Age,0.05317532,TRUE
UBA3282,Batch,0.02182255,TRUE
UBA3282,Cage,0.01031308,FALSE
UBA3282,Cohort,0.00000007,FALSE
UBA3282,Diet,0.01123069,TRUE
UBA3282,Genetics,0.05403100,FALSE
UBA3282,Mouse,0.12038908,TRUE
UBA3282,Time,0.01403243,TRUE
UBA3700,Age,0.02450846,TRUE
UBA3700,Batch,0.02421156,TRUE
UBA3700,Cage,0.02168014,FALSE
UBA3700,Cohort,0.00000006,FALSE
UBA3700,Diet,0.02071311,TRUE
UBA3700,Genetics,0.09130546,TRUE
UBA3700,Mouse,0.22636077,TRUE
UBA3700,Time,0.00490937,FALSE
UBA3700NOV,Age,0.04031646,TRUE
UBA3700NOV,Batch,0.02846348,TRUE
UBA3700NOV,Cage,0.01500607,FALSE
UBA3700NOV,Cohort,0.00000006,FALSE
UBA3700NOV,Diet,0.13390746,TRUE
UBA3700NOV,Genetics,0.01709255,FALSE
UBA3700NOV,Mouse,0.15773739,TRUE
UBA3700NOV,Time,0.00000006,FALSE
UBA3818,Age,0.00224416,FALSE
UBA3818,Batch,0.02101208,TRUE
UBA3818,Cage,0.02366032,FALSE
UBA3818,Cohort,0.00333443,FALSE
UBA3818,Diet,0.04195541,TRUE
UBA3818,Genetics,0.02708900,FALSE
UBA3818,Mouse,0.19277560,TRUE
UBA3818,Time,0.00452883,FALSE
UBA7160,Age,0.03184962,TRUE
UBA7160,Batch,0.02957892,TRUE
UBA7160,Cage,0.03552399,TRUE
UBA7160,Cohort,0.03566159,TRUE
UBA7160,Diet,0.04089705,TRUE
UBA7160,Genetics,0.03321810,FALSE
UBA7160,Mouse,0.05994965,TRUE
UBA7160,Time,0.01139992,FALSE
UBA7173,Age,0.00052382,FALSE
UBA7173,Batch,0.04276228,TRUE
UBA7173,Cage,0.00351368,FALSE
UBA7173,Cohort,0.00517718,FALSE
UBA7173,Diet,0.02572427,TRUE
UBA7173,Genetics,0.14482685,TRUE
UBA7173,Mouse,0.11307615,TRUE
UBA7173,Time,0.01389784,TRUE
UBA7182,Age,0.05146757,TRUE
UBA7182,Batch,0.02903233,TRUE
UBA7182,Cage,0.01849058,FALSE
UBA7182,Cohort,0.02007211,FALSE
UBA7182,Diet,0.21727632,TRUE
UBA7182,Genetics,0.10832115,TRUE
UBA7182,Mouse,0.05010814,FALSE
UBA7182,Time,0.00000005,FALSE
UBA946,Age,0.03380282,TRUE
UBA946,Batch,0.02387521,TRUE
UBA946,Cage,0.02724583,TRUE
UBA946,Cohort,0.00826079,FALSE
UBA946,Diet,0.05353079,TRUE
UBA946,Genetics,0.09824669,TRUE
UBA946,Mouse,0.12003525,TRUE
UBA946,Time,0.00893641,FALSE
UBA9475,Age,0.08420394,FALSE
UBA9475,Batch,0.03326994,TRUE
UBA9475,Cage,0.00378382,FALSE
UBA9475,Cohort,0.04347974,TRUE
UBA9475,Diet,0.01118227,TRUE
UBA9475,Genetics,0.09966499,TRUE
UBA9475,Mouse,0.06136491,TRUE
UBA9475,Time,0.01713477,FALSE
UBA9502,Age,0.01513076,TRUE
UBA9502,Batch,0.04144074,TRUE
UBA9502,Cage,0.01347514,FALSE
UBA9502,Cohort,0.01142048,FALSE
UBA9502,Diet,0.13976869,TRUE
UBA9502,Genetics,0.05796216,FALSE
UBA9502,Mouse,0.08502016,TRUE
UBA9502,Time,0.00340450,FALSE
UMGS1004,Age,0.00636500,FALSE
UMGS1004,Batch,0.02493180,TRUE
UMGS1004,Cage,0.05234616,TRUE
UMGS1004,Cohort,0.00679451,FALSE
UMGS1004,Diet,0.14231496,TRUE
UMGS1004,Genetics,0.09008245,TRUE
UMGS1004,Mouse,0.07494402,TRUE
UMGS1004,Time,0.01269545,FALSE
UMGS1217,Age,0.03363330,TRUE
UMGS1217,Batch,0.01958848,TRUE
UMGS1217,Cage,0.04478708,TRUE
UMGS1217,Cohort,0.00689696,FALSE
UMGS1217,Diet,0.01905018,TRUE
UMGS1217,Genetics,0.01133167,FALSE
UMGS1217,Mouse,0.07399668,TRUE
UMGS1217,Time,0.04482497,TRUE
UMGS1370,Age,0.00768638,FALSE
UMGS1370,Batch,0.02477374,TRUE
UMGS1370,Cage,0.02482063,TRUE
UMGS1370,Cohort,0.00796728,FALSE
UMGS1370,Diet,0.15912277,TRUE
UMGS1370,Genetics,0.06192907,TRUE
UMGS1370,Mouse,0.10249887,TRUE
UMGS1370,Time,0.00489701,FALSE
UMGS1815,Age,0.00000005,FALSE
UMGS1815,Batch,0.03155803,TRUE
UMGS1815,Cage,0.01525973,FALSE
UMGS1815,Cohort,0.00895165,FALSE
UMGS1815,Diet,0.28952583,TRUE
UMGS1815,Genetics,0.06768880,TRUE
UMGS1815,Mouse,0.08405984,TRUE
UMGS1815,Time,0.00000005,FALSE
UMGS1872,Age,0.00000007,FALSE
UMGS1872,Batch,0.02937957,TRUE
UMGS1872,Cage,0.01441401,FALSE
UMGS1872,Cohort,0.06045647,TRUE
UMGS1872,Diet,0.07501456,TRUE
UMGS1872,Genetics,0.12410902,TRUE
UMGS1872,Mouse,0.04865459,FALSE
UMGS1872,Time,0.00305202,FALSE
UMGS268,Age,0.07837368,TRUE
UMGS268,Batch,0.02554266,TRUE
UMGS268,Cage,0.01101812,FALSE
UMGS268,Cohort,0.01669883,FALSE
UMGS268,Diet,0.01073795,TRUE
UMGS268,Genetics,0.09924116,TRUE
UMGS268,Mouse,0.11815487,TRUE
UMGS268,Time,0.01446180,TRUE
uniq,Age,0.20992975,TRUE
uniq,Batch,0.02866739,TRUE
uniq,Cage,0.01460839,FALSE
uniq,Cohort,0.00000006,FALSE
uniq,Diet,0.02143422,TRUE
uniq,Genetics,0.03823933,FALSE
uniq,Mouse,0.08502985,TRUE
uniq,Time,0.00309381,FALSE
X142,Age,0.00160819,FALSE
X142,Batch,0.02680641,TRUE
X142,Cage,0.00805646,FALSE
X142,Cohort,0.02551525,TRUE
X142,Diet,0.09692306,TRUE
X142,Genetics,0.10760002,TRUE
X142,Mouse,0.05157438,FALSE
X142,Time,0.00569511,FALSE
X1XD4269,Age,0.03816814,TRUE
X1XD4269,Batch,0.04123563,TRUE
X1XD4269,Cage,0.01039255,FALSE
X1XD4269,Cohort,0.00025509,FALSE
X1XD4269,Diet,0.01679074,TRUE
X1XD4269,Genetics,0.03780757,FALSE
X1XD4269,Mouse,0.08373656,TRUE
X1XD4269,Time,0.02969977,TRUE
X1XD876,Age,0.00704540,FALSE
X1XD876,Batch,0.02616276,TRUE
X1XD876,Cage,0.02052119,FALSE
X1XD876,Cohort,0.01030768,FALSE
X1XD876,Diet,0.01213888,TRUE
X1XD876,Genetics,0.11582111,TRUE
X1XD876,Mouse,0.08459859,TRUE
X1XD876,Time,0.00000019,FALSE
