Pathway	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
PWY-6151: S-adenosyl-L-methionine salvage I	837.5079284250	998.7400024179	827.8079020468	330.5841473309	1025.2030029865	784.7543499477	1354.6848751479	1327.3864780982	1397.1256644102	1280.9154441314	902.1118167283	967.9991821003	762.9694990518	752.4150373619	965.4692786433	622.3064453034	681.3561838988	870.1432634378	355.7561929528	632.7696384549	555.1556299793	822.1499590613	973.1283593508	1273.5422936016	836.1973683172	906.0538473843	1171.1951507211	651.4581204929	658.2007172208	811.2874858873	498.5007911966	901.4036343675	1173.8805634445	1098.3893919007	700.5759258343	977.2081073715	882.9410106526	386.6861976121	1104.1970760831	874.3151321812	657.3474628497	890.3535072379	1198.2825743419	852.9351829375	1523.9394014264	898.1430214872	919.4408991399	823.5179881070	848.4810978772	901.0158926913	497.9028182872	1127.0352246778	752.4668843500	1412.6952282799	1255.8996191642	1083.4359692629	1219.9633956709	1781.5383832626	943.6173728402	1402.7552933357	515.5554101375	865.2721067784	874.4767300211	1208.2042447490	939.3004233681	511.8440564909	612.2445969706	846.3698535396	1314.8064359151	517.7868410520	408.5778148767	722.0151570063	699.8324852839	615.7013662696	1754.5468215082	1347.3404214665	894.8742714713	705.4056749498	1603.7944009941	1130.1268456986	928.7160685835	1423.2230287665	1516.8214236617	1298.9469693598	883.3108610902	730.9631229279	1063.6904443204	972.4568946994	1547.1785340627	387.6886119259	871.5464240440	635.5705798796	927.3497822192	776.2687900155	864.7161850544	817.7512663015	818.8742813705	1039.7760306406	931.0254500279	816.6040872274	1687.5192098530	826.5474202854	613.8346910651	970.7959076141	770.5716432451	5526.5106586436	968.4232276883	758.2612992741	1384.6234463721	1581.6562557055	1084.6136229960	1150.1528435423	1256.6056957360	1148.8078574458	770.3078006710	706.1955255891	594.8503715892	809.7964601673	1218.6555256272	1103.5799831625	1035.9095624728	1877.2368640971	945.0528431650	1668.0443311255	756.9385346699	663.0944779547	1099.8239225960	1136.5400971121	919.0417422371	936.0457793051	1090.5536638855	859.4496122981	1309.4959985483	1113.6021186731	735.9319589255	1202.4109235954	1053.2910586534	1149.2696095296	830.1667363552	508.5270636146	681.3308342112
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	1125.5069358156	1121.1102691708	941.9458787783	181.1904369370	697.1106275370	754.6535027713	1649.6161539917	1641.6679872664	1809.5282245603	1319.5104132754	1395.4163824375	1275.4941492268	752.2565630574	639.1194325257	1405.5840600525	696.4292971641	1051.4678331642	1092.3392127364	344.0819721425	682.3103122077	725.3191483144	1022.0754228995	1094.9539589866	1471.4645498738	808.9971957551	877.9247950530	1453.0698790459	1188.6987388856	809.3888521616	1018.2768044606	564.8150480034	864.7082991483	1288.9167265683	1194.6700526894	1085.3893610118	986.2355744366	1055.4688888633	511.1727481814	1238.9940963543	1059.7267673180	621.5709328724	1028.6433637127	1578.8323687138	1073.7551678300	1793.6018547071	1061.3174185937	1180.9484545088	880.5419768141	870.1955211727	837.8555134927	589.5815618635	1165.6213606592	911.0371913462	1405.3580722853	1375.3218023760	1144.9457156936	989.3707759268	1503.9461724243	1006.9118277172	1462.6081101324	452.3358916873	1000.2637447455	818.8465710617	1034.1291253932	740.1092759230	558.6478252056	616.1141738821	780.6966552247	1243.8906744171	609.9381280235	362.0818070011	630.7147473917	663.0797933827	781.0861591647	1813.5456253829	1576.3117769250	901.5901129770	585.5896579453	1485.9220872796	1024.7678178753	905.1825334236	1499.2962007197	1354.8779443356	1243.3502809374	838.3600442241	602.0313964759	1073.7329584444	749.4349534854	1444.7306564064	354.1196386062	715.9430051464	550.9275345687	807.3140850137	501.3390276408	747.2537368769	723.6681635432	770.3426285712	860.2276638297	692.0307371890	608.5742928625	1606.3286030380	582.8982862224	516.9265320148	825.6496470083	627.1262613204	4507.0318790373	986.7789689947	692.8501768569	1351.3035974601	1500.7626363566	996.2186785388	896.7221600236	1335.5742614532	937.7747393045	775.7531984938	579.6170908537	418.0153154373	665.3363273801	1066.6747973965	1149.1225812491	1041.5609129718	1812.6088099721	764.2237505919	1604.4580208494	677.3959328028	464.5247350062	969.6965049553	997.3092495802	838.6684383132	620.2558573892	990.7794009494	641.4573009987	1210.9889791080	762.7884345463	573.5368278614	1000.1078022312	942.9753746636	1061.6909371750	765.8678815066	485.9721214764	637.5358796781
PWY-6168: flavin biosynthesis III (fungi)	110.6337500741	0	25.5175058698	37.0194471314	114.7460774576	139.2124773518	75.6103832257	41.7160142031	126.2960517518	61.3969226470	80.9560198204	122.7663996143	94.9881415288	93.7906459721	0	82.3491506932	300.1909451319	59.1716956126	0	92.3417809480	0	0	0	0	52.4293197397	0	86.6120012269	124.7689595347	84.9169966385	0	75.5743712618	163.2414324705	64.5512010270	0	72.7444520905	123.8936121533	144.1592241291	66.8513844039	153.3979048994	148.3405667944	189.4205007511	270.8940042831	261.0716656310	256.6700549439	323.5097983073	233.4644425242	221.3330340622	203.3660301397	54.0132410909	164.5714983030	64.8307191098	70.7149040472	64.2031363409	113.0277347177	102.1477001986	186.8803249645	288.2180618726	262.4897893725	139.9354281605	184.6726041215	80.1991807115	57.5702631773	149.9227499506	99.0517481632	170.8001154138	166.8743778011	80.6094318421	109.3388671994	44.3298080367	53.7736881424	0	150.5132520400	159.6717159211	88.7230626612	262.8313478330	130.7753212378	248.5879589352	75.3229124807	231.3518356915	150.5328370030	150.1245565693	141.5285192147	194.0852505361	157.9673166252	155.8383572495	149.0163402660	130.4496037474	150.7093705726	315.1231475620	54.4342864882	134.1605384897	128.3843520302	0	0	0	0	0	0	0	0	0	138.1712989414	76.0692225695	0	116.4487275101	270.8962211284	0	0	0	0	0	0	0	0	111.1220755799	0	0	0	0	0	0	0	0	0	0	0	48.9503028303	0	0	0	0	0	0	144.8263813421	66.0269954835	113.9057644900	0	0	110.0969172721	0	0
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.3672111876	0	0	0	0	0	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.1330025789	0	0	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)	581.7360560068	367.4909940875	414.4556481284	108.3828246886	205.6233540896	317.1115299966	737.1235975482	756.5433690363	712.1367942980	503.1369638222	545.1385148170	512.8391813566	263.5189872753	206.6090689273	622.2089793928	180.2809550466	310.9793891560	260.4883385922	54.0083702512	129.5815796795	350.4080796861	288.5693953501	266.1444793785	275.0260064659	130.9652473803	110.3868804115	226.1751698784	504.2904411402	189.7446044269	157.1907896563	78.0741497621	99.8941282474	174.8538124732	128.6953689820	140.8250804772	60.4479522398	109.7502841477	37.2965312539	114.6020682551	104.5796974071	121.9502570251	130.9481045060	199.7170285675	203.8104810020	180.5343239254	235.9182515061	207.7665601279	128.1241131697	100.2608080980	83.7024094422	41.7415731587	162.8505242063	99.1674283050	181.2516338888	142.8111034331	150.2349153070	147.4798415284	149.5703986492	183.9486431211	156.2514408092	0	110.8402989910	81.3826961209	96.6445317502	51.3150185698	73.3167823135	102.2264842497	34.9347005195	157.2369475042	37.8169013825	32.3810273159	46.8899458729	89.9309450756	174.3652410130	179.7237468372	233.7494650244	116.7516730971	85.4325775222	115.6680708213	108.8044195537	57.7043524108	89.0989588589	80.8189708674	126.3822414331	93.8202483787	47.8781491128	103.0104077303	66.6591127676	91.4021946610	42.5228884516	40.6934098170	22.4852221823	0	12.0331594783	55.6608195316	0	0	0	0	0	0	51.6132451448	22.0371277187	20.3935911396	0	177.6785321694	34.6784548389	0	25.8142988029	105.9097260572	35.4971359337	0	0	34.3014672566	0	0	0	0	0	0	0	23.7997502260	0	0	0	0	22.8381981454	26.2891882335	20.9611896472	0	0	0	0	132.9755333453	0	23.6215245206	0	0	0	0	0
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.3303436075	425.9566474112	832.6547015281	572.3913315406	477.9507141851	300.9951914079	187.9411241420	180.2227610073	379.1887307909	330.5034163893	369.2458829326	207.8870575722	632.1825546037	518.2642911243	675.0604959652	575.1791131804	578.4504536848	444.2778451869	328.7439201685	422.1727013372	229.2055858745	709.2057683093	397.4539219981	828.5725797187	736.2188485203	660.5561739404	703.8687110216	881.1544285480	595.3535239086	635.7439251543	0	537.1427558760	457.1829154570	666.9976537991	391.2520980804	0	297.8798607270	0	733.8507743454	0	0	146.3902690087	269.4240608661	317.0313955830	869.9371020837	701.9410116798	161.9013164637	143.9604722846	694.1841822404	237.0578770755	222.2849511990	656.9766581537	447.9908142790	495.5167574732	359.2723707671	230.4456746035	447.4155792506	205.9112442839	542.9147151686	192.8307303507	452.5848476486	262.8872520560	0	266.5768264588	228.0103290332	215.9620747594	0	179.5867660620	89.5991780710	0	312.8330567087	335.9654679298	278.1265638732	413.3671636262	146.4229224888	1073.1559159185	249.4858479941	116.1899145575	485.4236678244	562.3894698943	206.0219308802	317.3472813282	336.8127977724	424.3354894434	84.0558196428	241.6530162544	151.9149030755	378.9193075761	464.8089167261	379.4306929888	350.0324790365	622.8027495154	302.6814687936	600.5686238479	0	102.0033018690	372.3370649971	440.0890873731	262.0740724497	219.5885242184	242.8245307417	260.9174013454	348.5389925272	227.0809211171	278.4568496519	421.1845182058	84.5050302868	293.7035943525	70.8767514282	79.5837344203	156.4694309414
PWY-6270: isoprene biosynthesis I	1036.9583091627	927.7433928448	909.8910237927	207.9170497774	725.1747651944	715.9255236757	1601.0912403381	1528.3800214970	1604.8444299049	1238.6960106522	1123.4117624936	1112.2423779061	648.5859105190	565.8606040488	1239.8111320904	517.9156965563	694.9003269200	774.9164198460	267.9022397897	401.7051987871	646.6731799651	807.8791308356	841.2263905949	961.2710908908	553.9281116805	534.9297504308	865.5466055759	913.6379105516	615.7455004791	613.3627515860	308.0292230450	577.2643913887	881.6113572452	872.2940791317	608.0440580711	356.4679734209	428.0178885115	205.6914629585	408.4502398541	401.9016327768	520.4778281186	631.8112708327	986.9780299295	820.7931937924	1061.6692061214	798.7608523449	751.7104314377	597.7726902424	684.5003872004	521.6080224750	270.9057118270	850.4659784741	557.2229044720	1067.1429737505	961.1091421405	733.0674551063	676.9007423564	1096.4879915047	675.6767911404	743.7070418023	146.9000167505	554.9472864895	519.2541149644	775.0911888083	482.7049542452	249.2138531158	455.3992805490	201.1637631901	903.7985717765	220.4167274949	164.8163106334	417.0401371816	394.4608996809	578.0801262396	1135.4409588781	1011.0825452745	575.5287058557	534.3790077176	964.1184688642	505.6023572239	393.7081066791	812.6987335061	584.7937752780	713.7770538450	574.1539938238	369.7060100573	723.8927790910	528.8025864361	865.6511270698	224.8065072706	503.0087661912	268.8848352496	269.0351469876	345.2650933088	204.0707938085	128.0582018249	0	446.3912935258	280.0891529185	266.6418545531	660.9310163953	474.0191557542	214.5086528133	479.5715014284	367.9104404780	1601.2827619364	209.6282180835	258.4584170914	416.9790694639	626.8044828759	256.8096225066	618.7360148548	493.9228527017	594.1629132248	259.8251214687	150.4195024421	150.8465028103	520.0808876500	602.1843175124	408.8294700895	327.3952862294	870.6168376888	547.0947480584	876.7243395690	176.5320660024	329.8859918202	494.0534116036	461.4347477814	295.5053991562	524.4517362769	492.6201328509	575.7359256423	580.3389915158	692.7337772287	345.5169177138	623.1508093174	306.6351187593	594.1459599938	227.3666628153	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	896.1838211916	746.7379560757	1017.0208866630	226.4647423094	1068.5852360745	1122.6121121394	1281.8878285236	1312.3539937460	1350.8881796890	1035.1438662863	1065.3729310171	945.9576657863	1018.4667533879	885.2358497391	1018.5031553264	912.5882702213	1345.0984607516	932.2848765129	640.4080726069	995.7110019701	769.5796852171	1028.3211976450	1098.2565777234	1728.1759939380	1165.2708087478	1096.7509119088	1431.5965788695	972.5285786062	901.2002710525	1271.1225426307	961.7421469325	1168.2887904634	1451.0687260754	1341.8044056035	926.8591446423	1807.3979356865	1709.0171990370	651.1957050526	2145.8536139981	1508.4899122716	878.9088835992	1614.6706928449	1718.9883777984	1118.6205455436	1861.1605310942	1116.4166960028	1122.7508958474	952.3475669059	573.6221099412	1326.5567534961	895.7712184641	1342.2492130064	906.6782313725	1414.6298282113	1540.8210501305	1622.8111349439	1610.0222021281	1955.9469420974	1330.6861552142	1771.5644004778	669.6922113394	1200.7932864377	1246.4857085273	1023.2955228715	1199.8053381838	1102.6148353837	898.1795530899	1199.7213416527	1420.7845549941	1128.3541920167	868.8037747500	1375.8680849578	1183.5876005616	901.2170684231	1842.2655186251	1661.1766220010	1407.5715943018	1010.3961418699	1905.5747158625	1733.6102549693	1422.0765712790	1841.1336977606	2083.7174386058	1753.5990227042	1063.2843800210	1014.2399965360	1141.0328625792	1436.5163025313	2261.3862411354	405.3633516434	903.2186834581	1024.1703714595	1271.6015541403	870.2475519684	1137.6849175094	1143.3860284719	1388.9882776951	1256.1861462649	1236.0264370815	1069.9773706019	1840.1207944267	802.6895164330	638.2323111549	1117.4907051607	1100.5692423913	7620.2049274883	1099.4526843668	1002.4787954257	1669.5006404888	1560.8029187173	1355.9583112058	1156.0674038751	1379.5879854277	892.3442452791	803.8485626354	824.5516622687	760.8971153731	746.3196062129	1130.3971606657	1257.6564731191	1043.7641187131	1871.9351640027	986.2789131898	1634.5056445951	1125.6720832279	691.4188089597	892.6861602392	1245.8975044453	924.2221765928	1005.9512727284	1002.5160338337	880.9227454716	1160.7487864958	912.6329584250	571.6145219311	1232.6030939016	1259.9882392379	1106.4801450176	851.6491973734	711.9279623610	722.7728584664
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.1738598906	0	0	0	0	0	160.4512966729	0	0	0	0	0	0	0
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.8228192713	0	0	0	0	0	0	0	0	0	0	0	0	0	16.5029109008	0	0	0	0	23.2817217221	0	0	30.3780292467	0	128.8020511239	32.0368442561	96.6813248299	142.2612013344	152.9038695967	0	0	0	0	0	0	0	0	0	23.5462860849	69.0425881820	130.4556837883	216.3231873536	117.5663097804	104.4711913686	0	0	0	0	0	25.0497573935	14.5169764073	0	0	33.4758890760	27.0786943719	78.5377761172	32.2430763422	30.9497663250	0	0	0	0	22.2178704795	0	21.3403483450	20.6422127909	0	19.4199889432	129.7904681670	65.9488736483	115.3107709299	72.0669757349	142.0785001566	0	0	0	21.6940892498	0	0	0	0	55.3509820713	36.0202024348	42.3079736949	92.2529552747	0	0	0	0	59.8460559446	0	0	0	0	0	83.8378474125	52.1539768656	0	0	0	0	0	0	0	0	0	123.8228740456	148.6065002708	16.3032527880	0	0	0	0	104.1747279510	74.0057797752	73.9413097808	79.5048339902	56.1435818071	0	0	0	128.7141311254	0	21.9121612174	0
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.3491039248	0	66.8618234278	99.7949901265	118.2023600919	0	0	0	0	0	0	0	0	0	0	0	61.1500819754	55.6858005248	0	0	0	0	0	0	0	0	0	0	0	0	22.2023804212	54.5781275585	0	0	0	0	0	0	0	0	0	0	0	0	14.3284834345	35.0522810224	0	46.0126724354	79.2175893926	0	0	0	0	0	0	0	0	44.6856291282	24.8156508709	24.7381544619	59.3756519848	0	0	0	0	0	0	0	0	0	0	59.5241409703	55.8286521579	0	0	0	0	0	0	0	0	0	92.5275602061	133.5458597779	0	0	0	0	0	80.6107077430	53.1826327030	61.2168931630	63.1207995876	0	0	0	0	105.9154822082	0	0	0
PWY-6305: superpathway of putrescine biosynthesis	46.3714871821	68.9461351866	46.2862156763	0	37.3685164546	45.7634229053	75.2216646248	58.0884339836	78.9320986370	61.3742522085	59.4633149080	69.9095619649	38.1941943652	30.7529979254	37.9500347007	0	0	0	0	0	0	0	0	35.0816828693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.0422533660	263.2331988772	284.2992293896	211.2966629647	274.9672029708	168.3262648117	141.1559103175	85.0099076532	70.6121309337	19.1739874852	64.2690697345	0	82.0177825097	102.5735346739	72.0956243941	109.1560340342	48.0402689440	53.1593434749	81.4319945450	84.5395758565	0	20.0288971291	51.0588561206	54.1852899284	0	14.8057414198	28.2392633051	0	52.7778580648	0	0	46.9611418373	47.1864394285	91.5968537275	0	0	0	0	0	0	0	0	0	40.3102076623	0	0	0	0	0	44.6582330944	155.6615588443	0	0	0	66.2009268706	0	0	0	0	0	0	0	0	0	0	40.6593733420	0	0	0	0	0	0	0	83.1172432940	0	0	0	60.5683480038	0	0	0	20.6810332103	0	0	0	0	0	0	0	0	0	0	0	99.2824267066	0	0	0	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	943.6543060037	850.3092959494	865.8127897547	308.4464311380	882.9835313529	776.0799192094	1364.2256296412	1439.4117717559	1403.8295274587	1207.0356842970	986.8520931548	969.5520629734	734.9529083407	627.9041176537	1024.7252275159	557.7297463594	722.8356796595	602.5394361200	329.3926899982	495.2504655529	612.7952864760	555.8316105215	662.2847906234	720.0550072757	551.4278643369	498.1371803191	582.3427301237	737.5103314553	554.3690231227	483.5943543933	521.9976267828	711.8820128850	752.4892232439	714.2661018160	521.4666276479	687.1698762368	673.0512623174	194.4301846554	908.6277238842	467.0394692491	576.2586097943	955.6763972184	826.6422415467	637.6623817519	859.9370317431	601.4974498428	658.4319382162	627.0109850671	608.5995889775	683.3172690652	398.1902793859	668.2097172050	304.5470506998	806.6095296181	665.5717706834	677.3155661859	789.9361119112	865.7735303347	594.5368973191	493.7595246099	241.0516403606	552.7468905627	591.6714251668	761.7379514901	622.8234232295	580.3045135823	510.7603626629	539.4704132948	636.6668980622	464.5485216168	392.9171618148	806.7194627410	791.4929160051	521.7965194043	934.7909092276	950.5376723573	738.6410104042	724.7937564895	1042.8933556890	783.4116412733	624.7841187853	743.5224049526	921.8437203188	891.4592293922	591.7398084344	643.3640482099	666.4776292101	897.3312306529	1365.6860571138	166.9114745215	396.5990898057	467.7442829631	626.3099715573	461.4990989072	413.7195838545	532.7232363997	654.9415469319	625.6881406093	655.7337318803	603.9858962888	699.0758282892	445.3409180695	281.1941637250	415.6823481547	556.7125496495	3485.9506876294	269.8357881579	381.3471039353	495.8972482776	528.6810718744	485.2652270146	525.3033966613	295.6323852413	506.3678559317	299.5954928024	303.4661203902	409.2322752518	408.7363776339	358.5640252107	279.3673673397	298.5660771445	515.5705945599	465.7560184200	652.4249937220	542.0322508200	383.2776884700	358.3794276960	514.8993436096	278.9951199049	562.1358304568	335.4603382794	427.3898405899	441.0398080038	489.0359196163	328.8695117847	571.9666308392	369.4280377640	428.4141124748	170.9817528268	279.3827023534	222.3061432541
PWY-6353: purine nucleotides degradation II (aerobic)	35.3628193073	0	0	0	0	0	0	0	0	0	84.0056319673	28.2308413849	48.5521500817	0	0	39.6913074952	0	0	0	0	24.6484872486	0	0	39.9583386615	0	0	0	0	0	53.4007697049	126.9759009862	81.8044783020	124.0626951878	0	0	0	0	0	159.8174047747	0	76.2692961442	0	79.2470941874	0	0	0	139.8108557950	0	0	0	0	0	0	40.8562592222	0	0	98.2760388109	0	0	0	0	64.4822593065	114.4994121651	48.0779250902	94.8188180333	0	66.1525900686	0	36.5098247275	0	0	0	146.4705394277	44.0918171804	0	200.9818835101	88.2006789779	0	0	100.0215848693	50.6816555001	0	0	70.4456859433	0	94.9503942152	0	141.7896811386	0	0	40.9602325306	0	0	0	59.3976119756	0	92.8161205807	0	108.2320662850	0	152.8002896648	80.7836913871	0	0	56.3103143884	482.9586499219	74.6740116165	0	0	0	134.8244570707	51.6199200845	0	0	66.6968397626	82.6548797533	0	47.8393097545	0	0	0	46.3995966171	33.0036938359	0	63.1489466110	0	48.8753887009	137.7949970125	37.5323702627	104.9781423923	0	0	0	0	63.0484246412	96.6016055978	71.4235037258	0	0	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	1338.5341495866	1269.1136795074	1127.4605057961	352.7207484288	990.3765014402	909.8304626869	2140.6000664574	2100.6573419389	2183.4186939269	1712.2908967647	1460.1870076851	1520.4204519665	908.9520968193	752.1836008542	1601.0429721201	727.0054507885	859.7561821994	994.8727819962	356.1860513241	614.4775952627	761.1981333697	944.0649948452	961.1543105130	1202.2448737150	750.8270038204	702.0481498145	978.4308659497	1009.4723324479	680.2190815475	762.4999374870	497.3699018022	890.7359742290	1210.4817795171	1118.1057265655	856.8386534504	733.2314854089	836.8646189319	294.6757073695	1006.9170133357	837.9279039394	691.4403620039	827.4742563615	1266.3731080172	997.8309442244	1400.8454606883	971.3110747701	986.7312615538	858.1209473326	1003.8791704671	841.6987961209	486.8249893760	1164.8712148624	667.9415924524	1324.6942199938	1214.9644843452	1084.3927304078	1062.0230465118	1432.5317848440	919.4845487264	1078.7807004860	420.0149232160	807.5292695068	804.7793990386	1048.6225410489	763.5274070717	446.1395008935	625.5277929712	742.0832453158	1068.1588016743	523.3943983532	350.6805917381	667.2711264178	694.8400382810	781.9992101338	1570.2166675965	1307.9226253926	917.0526328031	723.6917145144	1469.9661247925	1022.5072071455	851.9132860590	1202.4014954858	1338.1026603944	1154.2794676207	830.4546617581	641.9797748308	980.1154458595	877.9274470125	1574.1036398405	358.3138999889	816.7790993021	601.0012108209	828.1935778965	607.9690836529	721.9862044675	709.0045953948	741.5385474737	798.6955347401	662.8603537491	661.2384522472	1396.6437213734	773.3395456578	522.3491428525	846.9411047945	688.1392946108	4956.9733039169	761.2629102613	658.7831348379	1094.0442863640	1248.8345616300	955.7294658910	960.3939129741	1099.1693734899	907.1390682866	634.6558958697	535.2242821122	465.9611841979	683.5011194510	893.5119754085	941.2573841617	853.3428336422	1576.4922071629	857.6619934108	1495.8870722205	637.4111283374	538.6753897513	833.3092002400	914.1487971115	689.9815062940	742.3072530966	839.5168681986	741.6157475750	1063.5216481296	869.3662993226	574.5183283321	1044.4163855586	857.1822091397	961.9022793530	432.7987590096	435.1312481390	473.6416731462
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	1378.7205536359	1311.6652600325	1166.9594404375	387.1790003341	1127.5624808407	935.1416007427	2271.1309245181	2217.2456233776	2229.5326088539	1809.9052833359	1478.4351848854	1542.2148408098	911.8724070133	752.9966302711	1625.0679260687	736.5642241959	847.1546606592	1008.0565263200	355.3803117250	611.0340942874	823.0015187292	1002.0354879168	1065.8151901993	1239.1005519551	847.7209490776	722.9558373411	1048.1431116584	965.4720892646	728.3442511505	782.3810869313	475.2493694657	916.5965680505	1333.8898944871	1160.8331118936	860.5799822037	740.2253649873	848.0018276863	286.3603719283	996.1171467654	856.0869427959	780.4830822567	830.9970274890	1323.3605416366	1079.8085231425	1476.9551067275	1001.7184154474	1028.1267118971	880.2928128406	1085.1496177693	867.2404836115	492.1861327639	1253.5550969132	729.9810054038	1606.3920944939	1370.3245250592	1265.1420820779	1250.6347685674	1942.6834657361	1116.5112289554	1415.2551856977	429.0205359226	870.6206489855	847.8844410928	1322.3237478375	818.6293293204	429.3380481116	669.6794239367	737.1240002260	1397.4123342280	511.7590590182	348.2127194703	684.9539031436	712.7267650899	781.2925129509	1679.8346789078	1376.0250498887	910.5873901964	772.4444232507	1599.7007878104	1046.7430401466	870.0751310558	1422.8135376750	1397.2070971216	1272.7181194064	957.0640302513	732.0611403092	1122.4950930751	916.4666519013	1685.2830104782	358.8393741177	833.6802994237	590.6821050854	850.3611369790	600.7522166399	737.2748179202	741.5973642374	757.6684408575	800.2684566221	652.2047879933	658.4094288055	1364.8956751372	804.7731697034	546.2549647179	1001.7128233874	690.7106791179	5020.3702819188	777.4805415348	677.1738833916	1115.4589331870	1269.9320170380	972.8251852662	969.0925530766	1114.9905828957	946.0742002022	613.0822104299	551.7177621202	465.9608455342	787.3933174236	1112.3816568973	1001.5021630039	895.0624322870	1629.1787490954	863.8651481405	1545.0402535199	633.2017157456	544.4253831295	969.8626149795	1004.1796642817	750.4779266565	740.6235310803	856.4144452743	763.0185756192	1078.6698306510	858.0145681979	592.1957176792	1073.3531704763	857.3531486276	978.3798029980	386.0239237115	443.2304744072	466.2537506881
